metric	value
all_temstapro_rows	128000
missing_woa_temperature	25302
plotted_rows	4225
qc_removed_bad_target	94211
qc_removed_short_fragment	4262
median_ocean_temp_C	17.799
median_temstapro_class_midpoint_C	37.500
thermophilicity:mesophilic	3828
thermophilicity:thermophilic	228
thermophilicity:undetermined	156
thermophilicity:hyperthermophilic	13
right_hand_label:<40	3815
right_hand_label:[45-50)	114
right_hand_label:[55-60)	108
right_hand_label:[50-55)	87
right_hand_label:[60-65)	54
right_hand_label:[65-70)	14
right_hand_label:[40-45)	13
right_hand_label:80<=	12
right_hand_label:[70-75)	7
right_hand_label:[75-80)	1
