cluster_id	n_genomes	pct_phaG	pct_phaJ	n_neither	n_beta_oxidation_only_J	n_fas_linked_only_G	n_both_GJ	top_phylum	top_phylum_pct	cmh_or_phaG	cmh_p_phaG	n_strata_used
OMDBv2.0_AA_G_NR100_000035112905	34	79.41	82.35	2	5	4	23	Pseudomonadota	100.0	93.654	9.98e-108	1
OMDBv2.0_AA_G_NR100_000070874498	142	38.03	70.42	31	57	11	43	Pseudomonadota	96.5	14.905	1.81e-83	3
OMDBv2.0_AA_G_NR100_000242525911	37	32.43	100.00	0	25	0	12	Actinomycetota	100.0	7.538	1.22e-08	1
OMDBv2.0_AA_G_NR100_000244652500	45	28.89	88.89	3	29	2	11	Pseudomonadota	100.0	9.595	7.28e-17	1
OMDBv2.0_AA_G_NR100_000242079509	39	28.21	30.77	16	12	11	0	Pseudomonadota	100.0	9.248	4.35e-14	1
OMDBv2.0_AA_G_NR100_000062620436	73	17.81	97.26	2	58	0	13	Actinomycetota	100.0	3.242	0.000806	1
OMDBv2.0_AA_G_NR100_000062180918	45	17.78	95.56	1	36	1	7	Bacillota	100.0	0.288	0.0089	1
OMDBv2.0_AA_G_NR100_000135617254	34	17.65	61.76	13	15	0	6	Pseudomonadota	88.2	3.172	0.0036	2
OMDBv2.0_AA_G_NR100_000013384431	697	14.35	42.04	361	236	43	57	Pseudomonadota	99.9	4.501	7.03e-44	2
OMDBv2.0_AA_G_NR100_000001655122	178	12.92	17.98	128	27	18	5	Pseudomonadota	100.0	3.536	3.33e-09	1
OMDBv2.0_AA_G_NR100_000000201972	71	12.68	84.51	11	51	0	9	Pseudomonadota	100.0	3.396	0.000298	1
OMDBv2.0_AA_G_NR100_000078884236	114	12.28	50.00	55	45	2	12	Pseudomonadota	99.1	3.329	1e-05	2
OMDBv2.0_AA_G_NR100_000145189019	74	12.16	68.92	21	44	2	7	Pseudomonadota	100.0	3.239	0.00052	1
OMDBv2.0_AA_G_NR100_000072179660	63	11.11	61.90	24	32	0	7	Pseudomonadota	100.0	2.915	0.00542	1
OMDBv2.0_AA_G_NR100_000013631350	46	10.87	80.43	7	34	2	3	Pseudomonadota	100.0	2.837	0.0219	1
OMDBv2.0_AA_G_NR100_000156326049	48	8.33	89.58	5	39	0	4	Pseudomonadota	100.0	2.111	0.145	1
OMDBv2.0_AA_G_NR100_000181110187	78	7.69	89.74	8	64	0	6	Desulfobacterota	98.7	7.297	0.024	2
OMDBv2.0_AA_G_NR100_000014808091	32	6.25	100.00	0	30	0	2	Pseudomonadota	100.0	1.544	0.549	1
OMDBv2.0_AA_G_NR100_000072651000	49	6.12	97.96	1	45	0	3	Pseudomonadota	100.0	1.511	0.486	1
OMDBv2.0_AA_G_NR100_000138190400	75	5.33	29.33	51	20	2	2	Pseudomonadota	100.0	1.305	0.604	1
OMDBv2.0_AA_G_NR100_000000191562	45	4.44	75.56	10	33	1	1	Pseudomonadota	100.0	1.076	0.919	1
OMDBv2.0_AA_G_NR100_000139884297	48	4.17	66.67	16	30	0	2	Pseudomonadota	100.0	1.006	0.994	1
OMDBv2.0_AA_G_NR100_000228771790	52	3.85	59.62	19	31	2	0	Pseudomonadota	98.1	0.845	0.829	2
OMDBv2.0_AA_G_NR100_000168416385	81	3.70	87.65	10	68	0	3	Pseudomonadota	100.0	0.889	0.842	1
OMDBv2.0_AA_G_NR100_000018755333	166	3.61	71.08	47	113	1	5	Pseudomonadota	99.4	0.845	0.685	2
OMDBv2.0_AA_G_NR100_000025918245	68	2.94	89.71	6	60	1	1	Pseudomonadota	100.0	0.700	0.618	1
OMDBv2.0_AA_G_NR100_000045457530	36	2.78	72.22	10	25	0	1	Pseudomonadota	100.0	0.660	0.681	1
OMDBv2.0_AA_G_NR100_000126950826	154	2.60	39.61	93	57	0	4	Pseudomonadota	100.0	0.614	0.333	1
OMDBv2.0_AA_G_NR100_000224966163	39	2.56	74.36	10	28	0	1	Pseudomonadota	100.0	0.608	0.62	1
OMDBv2.0_AA_G_NR100_000042192455	87	2.30	54.02	40	45	0	2	Pseudomonadota	98.9	0.549	0.396	2
OMDBv2.0_AA_G_NR100_000142221164	46	2.17	58.70	18	27	1	0	Pseudomonadota	100.0	0.513	0.502	1
OMDBv2.0_AA_G_NR100_000234626934	62	1.61	61.29	24	37	0	1	Actinomycetota	100.0	0.167	0.0477	1
OMDBv2.0_AA_G_NR100_000000815836	70	1.43	78.57	15	54	0	1	Pseudomonadota	100.0	0.334	0.253	1
OMDBv2.0_AA_G_NR100_000013481237	459	0.87	46.19	244	211	3	1	Pseudomonadota	99.3	0.197	0.000328	3
OMDBv2.0_AA_G_NR100_000161362957	250	0.40	46.80	133	116	0	1	Pseudomonadota	100.0	0.091	0.00272	1
OMDBv2.0_AA_G_NR100_000099036190	81	0.00	100.00	0	81	0	0	Actinomycetota	100.0	0.000	0.00371	1
OMDBv2.0_AA_G_NR100_000035102899	52	0.00	84.62	8	44	0	0	Pseudomonadota	100.0	0.000	0.133	1
OMDBv2.0_AA_G_NR100_000022439766	340	0.00	14.71	290	50	0	0	Thermoproteota	92.9	0.000	0.377	8
OMDBv2.0_AA_G_NR100_000227634850	44	0.00	95.45	2	42	0	0	Pseudomonadota	100.0	0.000	0.167	1
OMDBv2.0_AA_G_NR100_000004410215	143	0.00	0.00	143	0	0	0	Pseudomonadota	100.0	0.000	0.0124	1
OMDBv2.0_AA_G_NR100_000055913956	52	0.00	94.23	3	49	0	0	Pseudomonadota	98.1	0.000	0.137	2
OMDBv2.0_AA_G_NR100_000132148266	559	0.00	12.52	489	70	0	0	Pseudomonadota	99.8	0.000	4.65e-07	2
OMDBv2.0_AA_G_NR100_000117564048	662	0.00	2.42	646	16	0	0	Thermoproteota	97.7	0.000	0.491	7
OMDBv2.0_AA_G_NR100_000172455166	84	0.00	60.71	33	51	0	0	Pseudomonadota	100.0	0.000	0.056	1
OMDBv2.0_AA_G_NR100_000159795168	75	0.00	0.00	75	0	0	0	Pseudomonadota	100.0	0.000	0.071	1
OMDBv2.0_AA_G_NR100_000021183708	174	0.00	48.28	90	84	0	0	Pseudomonadota	97.1	0.000	0.00367	3
OMDBv2.0_AA_G_NR100_000110449701	155	0.00	96.77	5	150	0	0	Chloroflexota	99.4	0.000	0.458	2
OMDBv2.0_AA_G_NR100_000040368674	95	0.00	93.68	6	89	0	0	Pseudomonadota	100.0	0.000	0.042	1
OMDBv2.0_AA_G_NR100_000148477597	37	0.00	54.05	17	20	0	0	Pseudomonadota	100.0	0.000	0.205	1
OMDBv2.0_AA_G_NR100_000013576874	353	0.00	69.41	108	245	0	0	SAR324	98.9	0.000	0.131	4
OMDBv2.0_AA_G_NR100_000001271994	95	0.00	5.26	90	5	0	0	Thermoproteota	98.9	0.000	0.835	2
OMDBv2.0_AA_G_NR100_000020866026	226	0.00	44.69	125	101	0	0	Pseudomonadota	100.0	0.000	0.00162	1
OMDBv2.0_AA_G_NR100_000048196933	595	0.00	61.51	229	366	0	0	Pseudomonadota	99.7	0.000	1.73e-07	2
OMDBv2.0_AA_G_NR100_000174424599	270	0.00	60.37	107	163	0	0	Pseudomonadota	100.0	0.000	0.000559	1
OMDBv2.0_AA_G_NR100_000162064731	106	0.00	69.81	32	74	0	0	Pseudomonadota	100.0	0.000	0.0316	1
OMDBv2.0_AA_G_NR100_000078715980	54	0.00	5.56	51	3	0	0	Pseudomonadota	100.0	0.000	0.126	1
OMDBv2.0_AA_G_NR100_000139954202	46	0.00	95.65	2	44	0	0	Pseudomonadota	100.0	0.000	0.158	1
OMDBv2.0_AA_G_NR100_000147535641	31	0.00	87.10	4	27	0	0	Pseudomonadota	100.0	0.000	0.246	1
OMDBv2.0_AA_G_NR100_000207072862	160	0.00	0.00	160	0	0	0	Pseudomonadota	98.8	0.000	0.0068	3
OMDBv2.0_AA_G_NR100_000073537408	107	0.00	95.33	5	102	0	0	Acidobacteriota	99.1	0.000	0.962	2
