habitat	phylum	n_in_habitat	phac_in_habitat	pct_in_habitat	n_outside_habitat	phac_outside_habitat	pct_outside_habitat	fisher_or	fisher_p	low_n_flag
Marine sediment	Bipolaricaulota	29	0	0.0	98	0	0.0		1	
Marine sediment	Methanobacteriota_B	23	0	0.0	74	0	0.0		1	
Marine sediment	Chlamydiota	31	0	0.0	86	0	0.0		1	
Marine sediment	JAAXVQ01	1	0	0.0	4	0	0.0			yes
Marine sediment	Chloroflexota	1132	117	10.3	8839	364	4.1	2.684	2.94e-16	
Marine sediment	UBA10199	3	0	0.0	27	0	0.0		1	yes
Marine sediment	Deinococcota	15	0	0.0	136	3	2.2	0.000	1	yes
Marine sediment	Desulfobacterota_B	28	1	3.6	454	231	50.9	0.036	1.63e-07	
Marine sediment	Bacillota	82	0	0.0	428	27	6.3	0.000	0.0132	
Marine sediment	UBA6262	3	0	0.0	11	0	0.0		1	yes
Marine sediment	SM23-31	11	0	0.0	2	0	0.0		1	yes
Marine sediment	Korarchaeota	2	0	0.0	17	0	0.0		1	yes
Marine sediment	WOR-3	33	0	0.0	130	0	0.0		1	
Marine sediment	Thermoproteota	631	221	35.0	3681	920	25.0	1.618	2.69e-07	
Marine sediment	Bdellovibrionota_B	7	0	0.0	126	2	1.6	0.000	1	yes
Marine sediment	Omnitrophota	71	0	0.0	142	0	0.0		1	
Marine sediment	Planctomycetota	483	14	2.9	5199	43	0.8	3.579	0.000214	
Marine sediment	CG2-30-70-394	1	0	0.0	0	0	nan			yes
Marine sediment	Tectomicrobia	2	1	50.0	61	0	0.0	inf	0.0317	yes
Marine sediment	Gemmatimonadota	239	1	0.4	1464	2	0.1	3.071	0.365	
Marine sediment	Blakebacterota	1	0	0.0	1	0	0.0			yes
Marine sediment	UBA8248	1	0	0.0	153	1	0.7			yes
Marine sediment	Thermotogota	15	0	0.0	60	0	0.0		1	yes
Marine sediment	CG2-30-53-67	1	1	100.0	1	0	0.0			yes
Marine sediment	JAGRBM01	1	1	100.0	0	0	nan			yes
Marine sediment	B1Sed10-29	1	0	0.0	6	0	0.0			yes
Marine sediment	Cyanobacteriota	91	7	7.7	4207	19	0.5	18.368	7.17e-07	
Marine sediment	Fibrobacterota	8	0	0.0	8	0	0.0		1	yes
Marine sediment	Hinthialibacterota	3	0	0.0	6	0	0.0		1	yes
Marine sediment	JAJVIF01	5	0	0.0	3	0	0.0		1	yes
Marine sediment	Muiribacteriota	3	2	66.7	40	23	57.5	1.478	1	yes
Marine sediment	Poribacteria	7	0	0.0	881	3	0.3	0.000	1	yes
Marine sediment	Chrysiogenota	32	0	0.0	6	0	0.0		1	
Marine sediment	Desulfobacterota_G	1	0	0.0	1	0	0.0			yes
Marine sediment	Eisenbacteria	4	0	0.0	12	0	0.0		1	yes
Marine sediment	Abyssobacteria	1	0	0.0	0	0	nan			yes
Marine sediment	Babelota	5	0	0.0	16	0	0.0		1	yes
Marine sediment	Atribacterota	7	0	0.0	18	0	0.0		1	yes
Marine sediment	Actinomycetota	336	14	4.2	13047	485	3.7	1.126	0.66	
Marine sediment	JAZFTZ01	1	0	0.0	0	0	nan			yes
Marine sediment	Desulfobacterota_E	11	0	0.0	3	0	0.0		1	yes
Marine sediment	Altiarchaeota	8	0	0.0	5	0	0.0		1	yes
Marine sediment	Zhuqueibacterota	85	0	0.0	55	0	0.0		1	
Marine sediment	Halobacteriota	106	2	1.9	201	26	12.9	0.129	0.000717	
Marine sediment	UBA6266	1	0	0.0	7	0	0.0			yes
Marine sediment	Acidobacteriota	334	5	1.5	2170	233	10.7	0.126	3.82e-10	
Marine sediment	SAR324	45	0	0.0	2449	534	21.8	0.000	2.64e-05	
Marine sediment	Verrucomicrobiota	90	2	2.2	6785	16	0.2	9.615	0.0226	
Marine sediment	Ratteibacteria	5	0	0.0	1	0	0.0			yes
Marine sediment	JADFOP01	17	0	0.0	8	0	0.0		1	yes
Marine sediment	CG03	1	0	0.0	2	0	0.0			yes
Marine sediment	B130-G9	5	0	0.0	2	0	0.0		1	yes
Marine sediment	CAIJMQ01	1	0	0.0	10	0	0.0			yes
Marine sediment	4572-55	1	0	0.0	1	0	0.0			yes
Marine sediment	BMS3Abin14	7	0	0.0	8	0	0.0		1	yes
Marine sediment	Arandabacterota	11	0	0.0	1	0	0.0			yes
Marine sediment	Aenigmatarchaeota	20	0	0.0	36	0	0.0		1	
Marine sediment	EX4484-52	4	0	0.0	27	1	3.7	0.000	1	yes
Marine sediment	Methylomirabilota	34	16	47.1	4	1	25.0	2.667	0.613	
Marine sediment	Nitrospirota	115	3	2.6	284	1	0.4	7.580	0.0741	
Marine sediment	Spirochaetota	95	0	0.0	420	2	0.5	0.000	1	
Marine sediment	Desulfobacterota_D	71	21	29.6	740	8	1.1	38.430	7.69e-18	
Marine sediment	UBP6	5	0	0.0	2	0	0.0		1	yes
Marine sediment	TA06	2	0	0.0	0	0	nan			yes
Marine sediment	Aerophobota	13	0	0.0	39	0	0.0		1	yes
Marine sediment	Moduliflexota	2	0	0.0	0	0	nan			yes
Marine sediment	Hydrogenedentota	31	0	0.0	21	0	0.0		1	
Marine sediment	Bacteroidota_A	298	0	0.0	989	0	0.0		1	
Marine sediment	Thermoplasmatota	126	4	3.2	13044	14	0.1	30.515	2.2e-05	
Marine sediment	Zixibacteria	70	0	0.0	44	0	0.0		1	
Marine sediment	Fusobacteriota	11	0	0.0	8	0	0.0		1	yes
Marine sediment	Campylobacterota	139	0	0.0	563	1	0.2	0.000	1	
Marine sediment	Asgardarchaeota	197	0	0.0	255	1	0.4	0.000	1	
Marine sediment	Krumholzibacteriota	43	0	0.0	83	0	0.0		1	
Marine sediment	Armatimonadota	24	0	0.0	12	0	0.0		1	
Marine sediment	Margulisbacteria	3	0	0.0	85	22	25.9	0.000	0.57	yes
Marine sediment	NPL-UPA2	5	0	0.0	10	0	0.0		1	yes
Marine sediment	Hydrothermarchaeota	1	0	0.0	30	0	0.0			yes
Marine sediment	Nitrospinota	47	0	0.0	819	5	0.6	0.000	1	
Marine sediment	Desulfobacterota_I	14	1	7.1	29	1	3.4	2.154	1	yes
Marine sediment	JAPLJL01	5	0	0.0	0	0	nan			yes
Marine sediment	Caldisericota	3	0	0.0	24	0	0.0		1	yes
Marine sediment	RBG-13-66-14	10	0	0.0	2	0	0.0		1	yes
Marine sediment	Pseudomonadota	2937	1209	41.2	97818	22315	22.8	2.367	9.93e-105	
Marine sediment	Unknown Bacteria	1	1	100.0	10	0	0.0			yes
Marine sediment	UBP14	9	0	0.0	19	0	0.0		1	yes
Marine sediment	UBA4055	7	0	0.0	1	0	0.0			yes
Marine sediment	Thermosulfidibacterota	2	0	0.0	24	0	0.0		1	yes
Marine sediment	Synergistota	7	0	0.0	4	0	0.0		1	yes
Marine sediment	Bdellovibrionota	5	0	0.0	490	29	5.9	0.000	1	yes
Marine sediment	Bacteroidota	595	2	0.3	36739	82	0.2	1.508	0.388	
Marine sediment	JABMQX01	2	0	0.0	1	0	0.0			yes
Marine sediment	Marinisomatota	137	0	0.0	7190	14	0.2	0.000	1	
Marine sediment	Joyebacterota	8	0	0.0	16	0	0.0		1	yes
Marine sediment	GCA-001730085	1	0	0.0	0	0	nan			yes
Marine sediment	Desulfobacterota	1009	178	17.6	834	134	16.1	1.119	0.383	
Marine sediment	Calditrichota	92	0	0.0	86	0	0.0		1	
Marine sediment	SZUA-182	5	0	0.0	2	0	0.0		1	yes
Marine sediment	Iainarchaeota	2	0	0.0	13	0	0.0		1	yes
Marine sediment	Micrarchaeota	8	0	0.0	18	0	0.0		1	yes
Marine sediment	Myxococcota	55	7	12.7	780	323	41.4	0.206	1.15e-05	
Marine sediment	CAKKQC01	1	0	0.0	0	0	nan			yes
Marine sediment	Latescibacterota	20	0	0.0	783	3	0.4	0.000	1	
Marine sediment	Cloacimonadota	14	0	0.0	56	0	0.0		1	yes
Marine sediment	UBP18	3	0	0.0	1	0	0.0			yes
Marine sediment	Myxococcota_A	72	3	4.2	364	3	0.8	5.232	0.0595	
Marine sediment	UBA3054	8	0	0.0	2	0	0.0		1	yes
Marine sediment	UBA2233	9	0	0.0	0	0	nan			yes
Marine sediment	4484-113	6	0	0.0	5	0	0.0		1	yes
Marine sediment	Hadarchaeota	9	0	0.0	13	0	0.0		1	yes
Marine sediment	TA06_A	1	0	0.0	4	0	0.0			yes
Marine sediment	Electryoneota	8	0	0.0	23	0	0.0		1	yes
Marine sediment	Nanobdellota	44	1	2.3	212	0	0.0	inf	0.172	
Marine sediment	Mcinerneyibacteriota	12	0	0.0	0	0	nan			yes
Marine sediment	Patescibacteriota	158	0	0.0	481	1	0.2	0.000	1	
Marine sediment	Fermentibacterota	18	0	0.0	21	0	0.0		1	yes
Marine sediment	Sumerlaeota	2	0	0.0	5	0	0.0		1	yes
Seawater	Bipolaricaulota	7	0	0.0	120	0	0.0		1	yes
Seawater	CAIWAD01	18	0	0.0	0	0	nan			yes
Seawater	Methanobacteriota_B	1	0	0.0	96	0	0.0			yes
Seawater	Chlamydiota	61	0	0.0	56	0	0.0		1	
Seawater	Chloroflexota	5340	26	0.5	4631	455	9.8	0.045	2.21e-121	
Seawater	2-12-FULL-45-22	1	0	0.0	0	0	nan			yes
Seawater	UBA10199	26	0	0.0	4	0	0.0		1	
Seawater	Deinococcota	78	0	0.0	73	3	4.1	0.000	0.111	
Seawater	Desulfobacterota_B	66	3	4.5	416	229	55.0	0.039	1.31e-16	
Seawater	Bacillota	224	10	4.5	286	17	5.9	0.739	0.552	
Seawater	JAMORN01	1	0	0.0	0	0	nan			yes
Seawater	WOR-3	1	0	0.0	162	0	0.0			yes
Seawater	Thermoproteota	2787	635	22.8	1525	506	33.2	0.594	2.64e-13	
Seawater	Bdellovibrionota_B	43	1	2.3	90	1	1.1	2.119	0.544	
Seawater	Omnitrophota	44	0	0.0	169	0	0.0		1	
Seawater	Planctomycetota	4430	32	0.7	1252	25	2.0	0.357	0.000276	
Seawater	Gemmatimonadota	890	0	0.0	813	3	0.4	0.000	0.109	
Seawater	T1Sed10-126	1	0	0.0	0	0	nan			yes
Seawater	UBA8248	66	0	0.0	88	1	1.1	0.000	1	
Seawater	Thermotogota	3	0	0.0	72	0	0.0		1	yes
Seawater	Cyanobacteriota	3501	8	0.2	797	18	2.3	0.099	1.98e-08	
Seawater	Fibrobacterota	8	0	0.0	8	0	0.0		1	yes
Seawater	Hinthialibacterota	6	0	0.0	3	0	0.0		1	yes
Seawater	JAJVIF01	1	0	0.0	7	0	0.0			yes
Seawater	Muiribacteriota	38	23	60.5	5	2	40.0	2.300	0.634	
Seawater	SpSt-1190	15	0	0.0	0	0	nan			yes
Seawater	Aquificota	1	0	0.0	165	0	0.0			yes
Seawater	Elusimicrobiota	1	0	0.0	9	0	0.0			yes
Seawater	Poribacteria	236	2	0.8	652	1	0.2	5.564	0.174	
Seawater	Chrysiogenota	1	0	0.0	37	0	0.0			yes
Seawater	Eisenbacteria	11	0	0.0	5	0	0.0		1	yes
Seawater	Vulcanimicrobiota	45	23	51.1	0	0	nan			
Seawater	Babelota	7	0	0.0	14	0	0.0		1	yes
Seawater	Atribacterota	1	0	0.0	24	0	0.0			yes
Seawater	Actinomycetota	10603	270	2.5	2780	229	8.2	0.291	1.07e-37	
Seawater	ARS69	1	0	0.0	0	0	nan			yes
Seawater	Auribacterota	1	0	0.0	1	0	0.0			yes
