study_id	n_phac_positive	pct_ge5	n_ge5	max_n_phac
DONG22-1	48	4.17	2	6
CARD22-1	129	3.88	5	7
CHAS20-1	107	3.74	4	7
RSGB23-1	2815	3.27	92	9
ATLA15-1	393	2.29	9	6
CAOS20-1	881	2.27	20	6
BRYA16-1	47	2.13	1	5
SATI15-1	94	2.13	2	5
SOGI22-1	47	2.13	1	5
SCRA20-1	106	1.89	2	5
SHIN18-1	215	1.86	4	5
PUEN22-1	56	1.79	1	5
SHAF22-1	124	1.61	2	5
ZHEN22-1	125	1.60	2	6
SONG20-1	66	1.52	1	5
BOEU19-1	68	1.47	1	5
DUAR15-1	137	1.46	2	5
HARO16-1	77	1.30	1	5
ACIN21-1	233	1.29	3	6
TREM17-1	176	1.14	2	5
ZHEN15-1	189	1.06	2	5
SANT17-1	95	1.05	1	5
TAOJ22-1	295	1.02	3	6
TOPC	3379	1.01	34	7
WIND23-1	317	0.95	3	6
MCIN21-1	121	0.83	1	5
KELL22-1	379	0.79	3	8
WANG22-1	860	0.70	6	5
BPAM22-1	1616	0.62	10	10
SCHR19-1	846	0.59	5	5
SUMM22-1	218	0.46	1	5
SUHA22-1	242	0.41	1	5
ZHAN22-5	263	0.38	1	5
OBRI24-1	334	0.30	1	5
TPAC	2836	0.25	7	8
LUOR22-1	458	0.22	1	6
SANC23-1	751	0.13	1	5
AGAR17-1	24	0.00	0	3
ALNE18-1	315	0.00	0	4
ALNE20-1	283	0.00	0	3
ASPL16-1	60	0.00	0	3
BAEC19-1	42	0.00	0	2
BAIS20-1	53	0.00	0	4
BATS20-1	23	0.00	0	3
BEMA21-1	46	0.00	0	4
BERT20-1	85	0.00	0	3
BILL18-1	157	0.00	0	4
BRAK15-1	87	0.00	0	4
CAST23-1	214	0.00	0	3
CAST23-2	41	0.00	0	2
CHEN21-1	59	0.00	0	3
COEL20-1	81	0.00	0	4
COLA18-1	54	0.00	0	3
COLL22-1	382	0.00	0	3
COUT21-1	23	0.00	0	3
COWA16-1	26	0.00	0	3
DHAR22-1	22	0.00	0	3
DLUG22-1	68	0.00	0	3
DRIS22-1	127	0.00	0	4
EMOS17-1	101	0.00	0	3
ENGE20-1	123	0.00	0	3
FLIE21-1	22	0.00	0	3
FORT15-1	28	0.00	0	3
FUCH17-1	64	0.00	0	3
FUCH22-1	372	0.00	0	4
GALA18-1	97	0.00	0	3
GARB21-1	25	0.00	0	3
GIFF20-1	47	0.00	0	2
GLAS20-1	87	0.00	0	2
HABI22-1	26	0.00	0	4
HARO18-1	56	0.00	0	4
HARO18-2	110	0.00	0	3
HAWL17-1	254	0.00	0	4
HEVR20-1	28	0.00	0	2
HUGE15-1	52	0.00	0	3
JOHN19-1	68	0.00	0	3
KAGO19-1	439	0.00	0	3
KARI17-1	26	0.00	0	2
KATO19-1	37	0.00	0	4
KIEF18-1	87	0.00	0	2
KIMD21-1	84	0.00	0	3
KOBI21-1	339	0.00	0	3
KOPF15-1	842	0.00	0	4
KRUG19-1	264	0.00	0	4
KRUG19-2	102	0.00	0	4
LARK21-1	112	0.00	0	4
LIUR22-1	116	0.00	0	3
LUOE20-1	234	0.00	0	4
MAKI22-1	88	0.00	0	3
MARK18-1	195	0.00	0	4
MART15-1	67	0.00	0	3
MEHR18-1	95	0.00	0	3
MEYE16-2	30	0.00	0	4
MORG22-1	74	0.00	0	3
NAPP22-1	184	0.00	0	3
NGUY21-1	255	0.00	0	4
NILS19-1	74	0.00	0	3
NOWI19-1	195	0.00	0	4
PANK22-1	979	0.00	0	3
POHA15-1	48	0.00	0	3
PRIE21-1	42	0.00	0	4
REYS20-1	88	0.00	0	4
ROBB19-1	26	0.00	0	3
ROBB21-1	171	0.00	0	3
ROTH18-1	69	0.00	0	4
RUSA22-1	32	0.00	0	3
SAWJ20-1	24	0.00	0	2
SCHR21-1	39	0.00	0	3
SCHU20-1	28	0.00	0	2
SIER19-1	175	0.00	0	3
SILV23-1	140	0.00	0	4
SOLA22-1	211	0.00	0	4
SOME21-1	33	0.00	0	4
SPET22-1	25	0.00	0	4
STOR20-1	31	0.00	0	2
SUNY21-1	22	0.00	0	4
SUTE22-1	413	0.00	0	4
TANS21-1	83	0.00	0	4
THRA17-1	48	0.00	0	4
TIMM21-1	23	0.00	0	2
TULL18-1	114	0.00	0	4
WEBE19-1	21	0.00	0	3
WEIG22-1	24	0.00	0	2
WILS17-1	27	0.00	0	3
XUSH22-1	113	0.00	0	4
YANW21-1	106	0.00	0	4
ZHAN22-1	105	0.00	0	3
ZHAN22-2	135	0.00	0	4
ZHAN22-3	81	0.00	0	4
ZHAO22-1	58	0.00	0	4
ZHEN20-1	284	0.00	0	4
ZHOU22-1	197	0.00	0	3
ZORZ22-1	33	0.00	0	4
