habitat	n_phac_positive	pct_phaAB	log2_enrichment_phaAB	cmh_or_phaAB	cmh_p_phaAB	pct_phaJ	log2_enrichment_phaJ	cmh_or_phaJ	cmh_p_phaJ	pct_phaG	log2_enrichment_phaG	cmh_or_phaG	cmh_p_phaG	pct_Both J&G	log2_enrichment_Both J&G	cmh_or_Both J&G	cmh_p_Both J&G
Seawater	19694	81.28	-0.075	0.362	1.52e-105	60.80	-0.101	0.567	2.43e-68	5.00	-0.127	1.349	2.08e-05	3.80	-0.222	1.392	3.73e-05
Marine Porifera tissue	2614	97.40	0.186	7.424	1.27e-63	84.01	0.366	3.358	8.07e-70	1.84	-1.559	0.435	2.24e-08	1.72	-1.351	0.514	1.66e-05
Marine sediment	1835	89.37	0.062	2.030	5.04e-17	63.54	-0.037	1.134	0.0367	4.03	-0.429	1.016	0.901	2.34	-0.906	0.707	0.0414
Marine biofilm	986	90.77	0.084	1.822	5.48e-08	71.50	0.133	1.392	4.29e-06	4.87	-0.153	0.995	0.974	3.25	-0.431	0.875	0.463
Brackish sea water	587	76.49	-0.163	0.611	7.98e-07	45.66	-0.514	0.439	1.52e-21	2.73	-0.962	0.570	0.0254	1.70	-1.313	0.467	0.0149
Marine Hydrozoa tissue	440	96.36	0.169	5.161	2.13e-12	86.82	0.412	4.504	9.04e-25	0.45	-3.269	0.087	2.9e-05	0.23	-3.706	0.062	0.000181
Marine algae thallus	254	95.67	0.158	4.954	4.34e-07	80.71	0.306	2.316	1.17e-07	10.63	0.981	1.617	0.0405	9.84	1.172	2.017	0.00453
Coral tissue	238	97.90	0.190	10.947	4.97e-10	77.31	0.244	2.694	1.06e-07	3.36	-0.620	0.726	0.4	3.36	-0.320	1.001	0.997
Animal bone biofilm	204	86.76	0.016	1.188	0.406	74.02	0.181	1.576	0.00455	4.90	-0.093	1.013	0.967	3.92	-0.098	1.084	0.825
Sea ice	191	94.76	0.143	3.242	0.000139	72.77	0.156	1.415	0.0337	8.90	0.738	1.844	0.0146	8.90	1.038	2.500	0.000204
Estuarine sediment	190	91.05	0.085	2.115	0.00249	73.16	0.164	1.860	0.000485	2.63	-0.924	0.578	0.223	2.63	-0.624	0.773	0.571
Hydrothermal vent fluid/plume	127	87.40	0.025	1.642	0.155	68.50	0.068	2.036	0.00344	7.87	0.586	2.403	0.00688	7.87	0.886	3.108	0.000339
Cold seep sediment	112	85.71	-0.004	1.113	0.71	69.64	0.092	1.591	0.0522	6.25	0.280	1.676	0.197	1.79	-1.004	0.578	0.454
Estuarine water	110	83.64	-0.039	0.921	0.749	44.55	-0.548	0.433	7.91e-06	4.55	-0.141	0.899	0.816	3.64	-0.131	0.967	0.948
Hydrothermal vent sediment	110	84.55	-0.023	1.549	0.188	77.27	0.241	1.624	0.0408	2.73	-0.793	0.682	0.512	2.73	-0.493	0.914	0.878
