phylum	n_phac_positive	pct_phaG	pct_phaJ	pct_AB	n_phaG	n_phaJ	n_AB
Pseudomonadota	49499	4.09	58.27	78.84	2023	28841	39025
Bacteroidota	5259	6.50	42.42	63.78	342	2231	3354
Actinomycetota	2050	3.02	81.76	78.29	62	1676	1605
Thermoproteota	1221	0.00	6.31	59.46	0	77	726
SAR324	1143	0.44	70.08	78.92	5	801	902
Chloroflexota	1098	1.37	86.79	94.90	15	953	1042
Desulfobacterota	750	2.27	69.87	84.13	17	524	631
Marinisomatota	705	0.14	23.83	56.45	1	168	398
Bacteroidota_A	692	2.89	39.45	68.50	20	273	474
Myxococcota	595	3.03	90.59	87.56	18	539	521
Verrucomicrobiota	444	3.83	8.78	23.20	17	39	103
Bacillota	416	13.46	59.13	82.21	56	246	342
Acidobacteriota	398	0.00	73.87	96.23	0	294	383
Desulfobacterota_B	394	2.54	97.72	99.49	10	385	392
Poribacteria	369	0.81	6.23	88.62	3	23	327
Cyanobacteriota	344	0.00	4.65	33.72	0	16	116
Myxococcota_A	333	0.00	97.90	96.70	0	326	322
Planctomycetota	310	0.00	28.06	73.87	0	87	229
Spirochaetota	276	1.81	33.70	79.71	5	93	220
Gemmatimonadota	258	0.00	34.50	93.41	0	89	241
Campylobacterota	232	0.43	24.14	27.16	1	56	63
Latescibacterota	219	0.00	15.07	84.47	0	33	185
Halobacteriota	148	0.00	85.14	85.14	0	126	126
Bdellovibrionota	100	0.00	32.00	74.00	0	32	74
Calditrichota	90	4.44	8.89	76.67	4	8	69
Krumholzibacteriota	85	0.00	8.24	89.41	0	7	76
Desulfobacterota_D	80	6.25	77.50	86.25	5	62	69
Deinococcota	69	0.00	49.28	92.75	0	34	64
Thermoplasmatota	55	0.00	12.73	83.64	0	7	46
Asgardarchaeota	50	8.00	94.00	58.00	4	47	29
Vulcanimicrobiota	48	0.00	72.92	95.83	0	35	46
Nitrospirota	44	15.91	2.27	59.09	7	1	26
Tectomicrobia	41	0.00	95.12	100.00	0	39	41
Desulfobacterota_I	35	0.00	14.29	0.00	0	5	0
Aquificota	32	0.00	3.12	0.00	0	1	0
Zixibacteria	29	0.00	6.90	79.31	0	2	23
UBA8248	29	24.14	100.00	100.00	7	29	29
Nitrospinota	28	0.00	3.57	0.00	0	1	0
Thermotogota	27	0.00	44.44	11.11	0	12	3
Muiribacteriota	26	0.00	26.92	69.23	0	7	18
Bdellovibrionota_B	25	0.00	68.00	100.00	0	17	25
Nanobdellota	24	0.00	4.17	4.17	0	1	1
WOR-3	24	0.00	0.00	8.33	0	0	2
Margulisbacteria	23	17.39	4.35	95.65	4	1	22
Bipolaricaulota	20	0.00	0.00	10.00	0	0	2
Fusobacteriota	20	10.00	40.00	65.00	2	8	13
Zhuqueibacterota	19	0.00	26.32	31.58	0	5	6
Methylomirabilota	17	5.88	88.24	94.12	1	15	16
Methanobacteriota_B	16	0.00	0.00	62.50	0	0	10
DYJV01	16	0.00	0.00	87.50	0	0	14
Patescibacteriota	15	0.00	13.33	20.00	0	2	3
Chrysiogenota	15	0.00	6.67	86.67	0	1	13
JADFOP01	15	0.00	93.33	0.00	0	14	0
Eisenbacteria	15	0.00	13.33	86.67	0	2	13
Omnitrophota	14	14.29	0.00	50.00	2	0	7
Hydrogenedentota	11	0.00	90.91	81.82	0	10	9
GCA-2686955	10	0.00	100.00	90.00	0	10	9
Fibrobacterota	8	0.00	0.00	50.00	0	0	4
Cloacimonadota	8	0.00	50.00	75.00	0	4	6
Arandabacterota	7	0.00	0.00	85.71	0	0	6
Chlamydiota	6	0.00	0.00	83.33	0	0	5
UBA4055	6	0.00	33.33	0.00	0	2	0
Electryoneota	5	0.00	40.00	80.00	0	2	4
Mcinerneyibacteriota	5	0.00	0.00	0.00	0	0	0
Aerophobota	5	0.00	0.00	20.00	0	0	1
Atribacterota	4	0.00	0.00	0.00	0	0	0
JAPLJL01	4	0.00	100.00	100.00	0	4	4
Hinthialibacterota	3	0.00	0.00	0.00	0	0	0
