phylum	n_phac_positive	pct_multicopy	mean_n_phac	n_multicopy
Pseudomonadota	49499	45.77	1.97	22654
Bacteroidota	5259	15.93	1.20	838
Actinomycetota	2050	26.05	1.41	534
Thermoproteota	1221	8.52	1.09	104
SAR324	1143	28.00	1.36	320
Chloroflexota	1098	25.50	1.30	280
Desulfobacterota	750	46.13	1.92	346
Marinisomatota	705	6.67	1.08	47
Bacteroidota_A	692	12.72	1.13	88
Myxococcota	595	66.55	2.62	396
Verrucomicrobiota	444	9.46	1.19	42
Bacillota	416	27.40	1.44	114
Acidobacteriota	398	22.86	1.27	91
Desulfobacterota_B	394	44.67	1.53	176
Poribacteria	369	4.07	1.04	15
Cyanobacteriota	344	20.93	1.24	72
Myxococcota_A	333	58.86	2.21	196
Planctomycetota	310	12.58	1.15	39
Spirochaetota	276	30.80	1.49	85
Gemmatimonadota	258	5.43	1.06	14
Campylobacterota	232	6.47	1.08	15
Latescibacterota	219	12.33	1.16	27
Halobacteriota	148	54.05	2.45	80
Bdellovibrionota	100	15.00	1.17	15
Calditrichota	90	33.33	1.48	30
Krumholzibacteriota	85	36.47	1.44	31
Desulfobacterota_D	80	16.25	1.20	13
Deinococcota	69	26.09	1.48	18
Thermoplasmatota	55	1.82	1.02	1
Asgardarchaeota	50	52.00	3.02	26
Vulcanimicrobiota	48	12.50	1.19	6
Nitrospirota	44	4.55	1.05	2
Tectomicrobia	41	21.95	1.22	9
Desulfobacterota_I	35	48.57	1.60	17
Aquificota	32	0.00	1.00	0
Zixibacteria	29	37.93	1.38	11
UBA8248	29	0.00	1.00	0
Nitrospinota	28	0.00	1.00	0
Thermotogota	27	0.00	1.00	0
Muiribacteriota	26	53.85	1.54	14
Bdellovibrionota_B	25	68.00	2.48	17
Nanobdellota	24	4.17	1.17	1
WOR-3	24	4.17	1.04	1
Margulisbacteria	23	26.09	1.30	6
Bipolaricaulota	20	0.00	1.00	0
Fusobacteriota	20	70.00	2.10	14
Zhuqueibacterota	19	15.79	1.16	3
Methylomirabilota	17	29.41	1.35	5
Methanobacteriota_B	16	0.00	1.00	0
DYJV01	16	62.50	1.69	10
Patescibacteriota	15	6.67	1.13	1
Chrysiogenota	15	13.33	1.13	2
JADFOP01	15	0.00	1.00	0
Eisenbacteria	15	0.00	1.00	0
Omnitrophota	14	0.00	1.00	0
Hydrogenedentota	11	0.00	1.00	0
GCA-2686955	10	20.00	1.30	2
Fibrobacterota	8	25.00	1.25	2
Cloacimonadota	8	0.00	1.00	0
Arandabacterota	7	71.43	1.71	5
Chlamydiota	6	33.33	1.33	2
UBA4055	6	50.00	1.50	3
Electryoneota	5	0.00	1.00	0
Mcinerneyibacteriota	5	0.00	1.00	0
Aerophobota	5	0.00	1.00	0
Atribacterota	4	0.00	1.00	0
JAPLJL01	4	50.00	2.00	2
Hinthialibacterota	3	0.00	1.00	0
JAAXHH01	3	0.00	1.00	0
Synergistota	3	33.33	1.33	1
SM23-31	3	0.00	1.00	0
Moduliflexota	2	100.00	2.00	2
Sumerlaeota	2	0.00	1.00	0
TA06_A	2	0.00	1.00	0
Korarchaeota	2	0.00	1.00	0
Auribacterota	2	50.00	1.50	1
CAIWAD01	2	0.00	1.00	0
Blakebacterota	1	0.00	1.00	0
Abyssobacteria	1	0.00	1.00	0
Unknown Bacteria	1	0.00	1.00	0
T1Sed10-126	1	0.00	1.00	0
JAHJDO01	1	0.00	1.00	0
Calescibacteriota	1	0.00	1.00	0
SZUA-182	1	100.00	2.00	1
CSSED10-310	1	100.00	2.00	1
Micrarchaeota	1	0.00	1.00	0
JALSQH01	1	0.00	1.00	0
EX4484-52	1	0.00	1.00	0
Methanobacteriota	1	0.00	1.00	0
Desulfobacterota_C	1	0.00	1.00	0
Hydrothermarchaeota	1	0.00	1.00	0
DRYD01	1	0.00	1.00	0
CG2-30-53-67	1	0.00	1.00	0
JABMQX01	1	0.00	1.00	0
JAGRBM01	1	100.00	6.00	1
Elusimicrobiota	1	100.00	2.00	1
JAAXVQ01	1	0.00	1.00	0
CG03	1	0.00	1.00	0
Ratteibacteria	1	0.00	1.00	0
