genome	n_phaC	gtdb_species	gtdb_genus	gtdb_phylum	study_id	ecosystem_compartment	latitude_degN	longitude_degE	is_mag	contamination_pct	n_targets_found	n_catalytic_triad_complete	n_hmm_supported	n_no_hit
BPAM22-1_SAMN07482708_MAG_00000011	10	Bradyrhizobium denitrificans	Bradyrhizobium	Pseudomonadota	BPAM22-1	Seawater	-12.4	130.768	True	1.29	10	10	0	0
BPAM22-1_SAMN07482710_MAG_00000026	10	Bradyrhizobium denitrificans	Bradyrhizobium	Pseudomonadota	BPAM22-1	Seawater	-12.4	130.768	True	2.23	10	10	0	0
BPAM22-1_SAMN07482793_MAG_00000044	10	Bradyrhizobium denitrificans	Bradyrhizobium	Pseudomonadota	BPAM22-1	Seawater	-12.4	130.768	True	1.29	10	10	0	0
RSGB23-1_GCF-000500125-V1_GENO_10000001	9	Legionella pneumophila	Legionella	Pseudomonadota	RSGB23-1	NA			False	0.38	9	9	0	0
RSGB23-1_GCF-002082905-V2_GENO_10000001	9	Legionella anisa	Legionella	Pseudomonadota	RSGB23-1	NA			False	2.0	9	9	0	0
BPAM22-1_SAMN08953028_MAG_00000010	8	Bradyrhizobium sp001556045	Bradyrhizobium	Pseudomonadota	BPAM22-1	Seawater	-12.4	130.768	True	3.16	8	8	0	0
KELL22-1_SAMN22237344_MAG_00000103	8	Unknown JASJEC01	JASJEC01	Pseudomonadota	KELL22-1	Marine sponge tissue	24.6609	-81.4563	True	5.63	8	8	0	0
RSGB23-1_GCF-004343615-V1_GENO_10000001	8	Paracraurococcus aquatilis	Paracraurococcus	Pseudomonadota	RSGB23-1	NA			False	0.0	8	8	0	0
TARA_SAMEA6004635_MAG_00000157	8	Unknown Hwanghaeella	Hwanghaeella	Pseudomonadota	TPAC	Seawater	-17.6756	-150.197	True	0.76	8	8	0	0
CARD22-1_SAMN24292811_MAG_00000010	7	Unknown Desulfoluna	Desulfoluna	Desulfobacterota	CARD22-1	Coral tissue	22.18	39.02	True	1.77	7	7	0	0
