target_id	genome	evidence_tier	protein_length	ref_accession	ref_length	pident	alnlen	evalue	qcov	tcov	length_ratio_query_to_ref
OMDBv2.0_AA_G_NR100_000001407809	ALNE18-1_SAMEA104408592_MAG_00000035	Catalytic triad complete	89	A0A1R3WI34	614	60.000	75	1.479E-29	0.843	0.122	0.1450
OMDBv2.0_AA_G_NR100_000070620043	KAGO19-1_SAMD00073983_MAG_00000007	HMM-supported (no triad)	96	A0ACH1NH61	600	93.600	95	2.722E-61	0.990	0.158	0.1600
OMDBv2.0_AA_G_NR100_000237244003	ZHAN22-1_SAMN11355746_MAG_00000106	HMM-supported (no triad)	98	A0A1H2UPX9	600	74.200	97	2.319E-51	0.990	0.162	0.1633
OMDBv2.0_AA_G_NR100_000162031260	SCHR19-1_SAMN09405988_MAG_00000008	HMM-supported (no triad)	94	A0AAN0RL66	580	96.700	93	8.736E-61	0.989	0.160	0.1621
OMDBv2.0_AA_G_NR100_000054041535	DONG22-1_SAMN19687762_MAG_00000032	Catalytic triad complete	130	A0A5B9MI03	470	51.200	119	2.569E-39	0.915	0.253	0.2766
OMDBv2.0_AA_G_NR100_000218174047	TARA_SAMEA6036021_MAG_00000148	HMM-supported (no triad)	151	A0ABZ3E9A3	600	77.100	149	8.894E-83	0.987	0.248	0.2517
OMDBv2.0_AA_G_NR100_000041327165	CARD22-1_SAMN24292821_MAG_00000008	Catalytic triad complete	184	Q5P962	809	29.800	185	4.112E-20	0.984	0.229	0.2274
OMDBv2.0_AA_G_NR100_000121243619	PANK22-1_SAMN12291159_MAG_00000034	Catalytic triad complete	214	A0A1Y6BBD4	429	57.000	212	3.310E-66	0.981	0.494	0.4988
OMDBv2.0_AA_G_NR100_000044907087	CHEN21-1_SAMN18835368-S002_MAG_00000278	Catalytic triad complete	292	A0ABU1JGX6	452	53.800	297	9.962E-88	0.993	0.657	0.6460
OMDBv2.0_AA_G_NR100_000228486197	WANG22-1_SAMN08714533-S079_MAG_00000034	Catalytic triad complete	306	A0A1I7E9K1	562	60.000	250	1.938E-100	0.817	0.445	0.5445
OMDBv2.0_AA_G_NR100_000228232030	WANG22-1_SAMN08714533-S077_MAG_00000028	Catalytic triad complete	307	A0A286GR83	599	52.200	309	1.299E-108	0.997	0.516	0.5125
OMDBv2.0_AA_G_NR100_000040948867	CAOS20-1_SAMN13674978-S038_MAG_00000103	Catalytic triad complete	315	A0A399RGD8	680	58.800	163	1.319E-56	0.473	0.240	0.4632
OMDBv2.0_AA_G_NR100_000043769237	CHAS20-1_SAMN14350119_MAG_00000053	Catalytic triad complete	270	Q5P962	809	31.500	246	2.808E-26	0.889	0.304	0.3337
OMDBv2.0_AA_G_NR100_000117883595	PANK22-1_SAMN12291263_MAG_00000056	HMM-supported (no triad)	280	A0A512JB75	344	40.300	103	7.732E-12	0.346	0.299	0.8140
OMDBv2.0_AA_G_NR100_000114372638	OBRI24-1_SAMEA115094376_MAG_00000196	Catalytic triad complete	386	A0A1H6I4J9	426	46.500	344	1.545E-97	0.891	0.808	0.9061
OMDBv2.0_AA_G_NR100_000038885105	CAOS20-1_SAMN13674978-S010_MAG_00000108	Catalytic triad complete	413	A0A7W4Z7U6	421	57.100	385	5.053E-154	0.927	0.914	0.9810
OMDBv2.0_AA_G_NR100_000220772579	TARA_SAMEA6043188_MAG_00000004	Catalytic triad complete	424	A0A1Y6BBD4	429	54.900	422	9.970E-135	0.946	0.984	0.9883
OMDBv2.0_AA_G_NR100_000104622234	MEHR18-1_SAMN03444961_MAG_00000015	Catalytic triad complete	432	G7Z9E8	430	50.800	425	3.414E-122	0.984	0.979	1.0047
OMDBv2.0_AA_G_NR100_000234120155	WIND23-1_Gp0561259-S001_MAG_00000053	Catalytic triad complete	421	A0ABU2DYI9	373	28.500	291	1.668E-20	0.691	0.743	1.1287
OMDBv2.0_AA_G_NR100_000160014259	SATI15-1_SAMN03252818_MAG_00000001	Catalytic triad complete	423	A0A1T4PIX0	425	71.100	420	1.902E-196	0.974	0.988	0.9953
OMDBv2.0_AA_G_NR100_000196671142	TARA_SAMEA2623397_MAG_00000015	HMM-supported (no triad)	74	A0ACG2PW52	357	94.300	71	2.719E-41	0.959	0.199	0.2073
OMDBv2.0_AA_G_NR100_000247728599	ZHOU22-1_SAMN16252672_MAG_00000003	HMM-supported (no triad)	56	A0A1Y6BBD4	429	68.700	48	5.077E-17	0.857	0.112	0.1305
OMDBv2.0_AA_G_NR100_000146625855	RSGB23-1_GCF-003605475-V1_GENO_10000001	Catalytic triad complete	438	A0A0K8MDT7	380	29.900	299	2.597E-22	0.683	0.750	1.1526
OMDBv2.0_AA_G_NR100_000088239465	LIUR22-1_SAMN17320295_MAG_00000082	Catalytic triad complete	361	A0A1C3UEH4	360	51.100	350	1.849E-129	0.970	0.969	1.0028
OMDBv2.0_AA_G_NR100_000227462228	WANG22-1_SAMN08714533-S045_MAG_00000013	Catalytic triad complete	351	A0ABQ0CC89	354	61.500	346	9.066E-149	0.986	0.977	0.9915
OMDBv2.0_AA_G_NR100_000156957053	SANC23-1_SAMEA110646502_MAG_00000110	HMM-supported (no triad)	355	A0A2T5IYQ9	380	36.200	359	1.279E-78	0.969	0.945	0.9342
OMDBv2.0_AA_G_NR100_000245629352	ZHEN20-1_SAMN07748062_MAG_00000068	Catalytic triad complete	360	A0A839SWE3	441	33.800	339	9.488E-62	0.933	0.769	0.8163
OMDBv2.0_AA_G_NR100_000065276864	HAWL17-1_SAMN05224524_MAG_00000036	HMM-supported (no triad)	405	A0A0K8MDT7	380	29.200	295	2.446E-22	0.728	0.739	1.0658
OMDBv2.0_AA_G_NR100_000216194241	TARA_SAMEA6030492_MAG_00000020	Catalytic triad complete	441	A0A9P1K0F5	419	55.700	414	7.042E-137	0.939	0.967	1.0525
OMDBv2.0_AA_G_NR100_000167378705	SHIN18-1_SAMEA104707374_MAG_00000089	Catalytic triad complete	361	A0A0S1AZB0	354	48.100	357	6.521E-102	0.989	0.997	1.0198
OMDBv2.0_AA_G_NR100_000177068306	SUTE22-1_SAMN10231894_MAG_00000067	HMM-supported (no triad)	361	A0ABZ2NBW0	354	26.000	296	5.083E-19	0.820	0.831	1.0198
OMDBv2.0_AA_G_NR100_000234388407	WIND23-1_Gp0561261-S001_MAG_00000210	Catalytic triad complete	371	A0A512BZ99	372	56.600	355	6.418E-137	0.957	0.952	0.9973
