depth_m	genome	trench	genus	architecture	max_id_nonhadal	nonhadal_hit_target	nonhadal_qcov	nonhadal_tcov	max_id_curated	curated_hit_acc	target_id
10899.0	SAWJ20-1_SAMD00080428_MAG_00000008	Mariana Trench	Nitrosopelagicus		99.7	OMDBv2.0_AA_G_NR100_000000083449	0.997	0.997	69.000	I3D2C6	OMDBv2.0_AA_G_NR100_000000652125
6500.0	SAWJ20-1_SAMD00080443_MAG_00000003	Kuril-Kamchatka Trench	UBA9659		99.7	OMDBv2.0_AA_G_NR100_000037358343	0.997	0.997	51.300	A0A1C3UEH4	OMDBv2.0_AA_G_NR100_000014349935
6500.0	SAWJ20-1_SAMD00080443_MAG_00000032	Kuril-Kamchatka Trench	Nitrosopumilus		99.4	OMDBv2.0_AA_G_NR100_000097198729	0.997	0.997	89.800	A0A2S2KSF1	OMDBv2.0_AA_G_NR100_000095295041
9697.0	SAWJ20-1_SAMD00080415_MAG_00000014	Izu-Ogasawara (Bonin) Trench	Nitrosopumilus		99.7	OMDBv2.0_AA_G_NR100_000160467904	0.997	0.997	89.200	A0A2S2KSF1	OMDBv2.0_AA_G_NR100_000097198729
6500.0	SAWJ20-1_SAMD00080443_MAG_00000040	Kuril-Kamchatka Trench	NORP23		99.8	OMDBv2.0_AA_G_NR100_000160521648	0.998	0.998	63.300	A0A849L4U8	OMDBv2.0_AA_G_NR100_000160546275
7512.0	SAWJ20-1_SAMD00080414_MAG_00000027	Izu-Ogasawara (Bonin) Trench	Casp-alpha2		78.1	OMDBv2.0_AA_G_NR100_000154576994	0.99	0.99	67.500	A0A967C673	OMDBv2.0_AA_G_NR100_000160409559
7512.0	SAWJ20-1_SAMD00080414_MAG_00000028	Izu-Ogasawara (Bonin) Trench	Nitrosopumilus		99.4	OMDBv2.0_AA_G_NR100_000097198729	0.997	0.997	88.900	A0A2S2KSF1	OMDBv2.0_AA_G_NR100_000160411290
7512.0	SAWJ20-1_SAMD00080414_MAG_00000032	Izu-Ogasawara (Bonin) Trench	JAYZAP01		84.0	OMDBv2.0_AA_G_NR100_000160535588	0.998	0.998	65.300	A0A967C673	OMDBv2.0_AA_G_NR100_000160415544
9697.0	SAWJ20-1_SAMD00080415_MAG_00000021	Izu-Ogasawara (Bonin) Trench	Phenylobacterium		98.4	OMDBv2.0_AA_G_NR100_000175779178	0.992	0.348	75.000	A0A839ZUW4	OMDBv2.0_AA_G_NR100_000160421528
6500.0	SAWJ20-1_SAMD00080443_MAG_00000019	Kuril-Kamchatka Trench	JAYZAP01		89.4	OMDBv2.0_AA_G_NR100_000037005043	0.998	0.998	67.600	A0A967C673	OMDBv2.0_AA_G_NR100_000160535588
7000.0	SAWJ20-1_SAMD00080421_MAG_00000016	Japan Trench	Nitrosopumilus		99.3	OMDBv2.0_AA_G_NR100_000226401445	0.997	0.997	91.600	A0A2S2KSF1	OMDBv2.0_AA_G_NR100_000160449053
7000.0	SAWJ20-1_SAMD00080421_MAG_00000019	Japan Trench	Nitrosopumilus		98.5	OMDBv2.0_AA_G_NR100_000247506887	0.997	0.997	89.200	A0A2S2KSF1	OMDBv2.0_AA_G_NR100_000160450976
7900.0	SAWJ20-1_SAMD00080427_MAG_00000001	Mariana Trench	Nitrosopumilus		99.7	OMDBv2.0_AA_G_NR100_000097198729	0.997	0.997	88.900	A0A2S2KSF1	OMDBv2.0_AA_G_NR100_000160467904
7900.0	SAWJ20-1_SAMD00080427_MAG_00000017	Mariana Trench	Nitrosopelagicus		99.7	OMDBv2.0_AA_G_NR100_000000083449	0.997	0.997	68.700	I3D2C6	OMDBv2.0_AA_G_NR100_000160481150
6500.0	SAWJ20-1_SAMD00080443_MAG_00000016	Kuril-Kamchatka Trench	Nitrosopelagicus		99.7	OMDBv2.0_AA_G_NR100_000000279174	0.997	0.997	68.600	I3D2C6	OMDBv2.0_AA_G_NR100_000160534155
6500.0	SAWJ20-1_SAMD00080443_MAG_00000024	Kuril-Kamchatka Trench	Casp-alpha2		96.9	OMDBv2.0_AA_G_NR100_000160409559	0.998	0.694	69.900	A0A967C673	OMDBv2.0_AA_G_NR100_000160540651
