genome	target_id	cluster0.7	protein_length_aa	pident_to_best_ref	triad_complete
DUAR15-1_SAMN06266142_MAG_00000002	OMDBv2.0_AA_G_NR100_000054866076	OMDBv2.0_AA_G_NR100_000139783925	561	43.500	True
DUAR15-1_SAMN06266142_MAG_00000002	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	640	74.800	True
DUAR15-1_SAMN06266142_MAG_00000002	OMDBv2.0_AA_G_NR100_000054867892	OMDBv2.0_AA_G_NR100_000061282509	589	97.400	True
DUAR15-1_SAMN06266142_MAG_00000002	OMDBv2.0_AA_G_NR100_000054868024	OMDBv2.0_AA_G_NR100_000139753017	199	54.400	False
RSGB23-1_GCF-000731955-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	640	74.800	True
RSGB23-1_GCF-000731955-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139753017	OMDBv2.0_AA_G_NR100_000139753017	738	68.800	True
RSGB23-1_GCF-000731955-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139753277	OMDBv2.0_AA_G_NR100_000139783925	561	42.600	True
SANC23-1_SAMEA110646468_MAG_00000065	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	640	74.800	True
SANC23-1_SAMEA110646468_MAG_00000065	OMDBv2.0_AA_G_NR100_000139753017	OMDBv2.0_AA_G_NR100_000139753017	738	68.800	True
SANC23-1_SAMEA110646468_MAG_00000065	OMDBv2.0_AA_G_NR100_000155251055	OMDBv2.0_AA_G_NR100_000139783925	561	42.600	True
TARA_SAMEA2623562_MAG_00000025	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	640	74.800	True
TARA_SAMEA2623562_MAG_00000025	OMDBv2.0_AA_G_NR100_000139753017	OMDBv2.0_AA_G_NR100_000139753017	738	68.800	True
TARA_SAMEA2623562_MAG_00000025	OMDBv2.0_AA_G_NR100_000155251055	OMDBv2.0_AA_G_NR100_000139783925	561	42.600	True
TARA_SAMEA2623564_MAG_00000048	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	640	74.800	True
TARA_SAMEA2623564_MAG_00000048	OMDBv2.0_AA_G_NR100_000139753017	OMDBv2.0_AA_G_NR100_000139753017	738	68.800	True
TARA_SAMEA2623564_MAG_00000048	OMDBv2.0_AA_G_NR100_000155251055	OMDBv2.0_AA_G_NR100_000139783925	561	42.600	True
ZHEN20-1_SAMN07748058_MAG_00000118	OMDBv2.0_AA_G_NR100_000054866076	OMDBv2.0_AA_G_NR100_000139783925	561	43.500	True
ZHEN20-1_SAMN07748058_MAG_00000118	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	640	74.800	True
ZHEN20-1_SAMN07748058_MAG_00000118	OMDBv2.0_AA_G_NR100_000246007748	OMDBv2.0_AA_G_NR100_000061282509	589	98.800	True
ZHEN20-1_SAMN07748058_MAG_00000118	OMDBv2.0_AA_G_NR100_000246007752	OMDBv2.0_AA_G_NR100_000139783925	598	43.900	True
ZHEN20-1_SAMN07748058_MAG_00000118	OMDBv2.0_AA_G_NR100_000246008371	OMDBv2.0_AA_G_NR100_000139753017	738	68.900	True
