genome	genome_label	target_id	cluster	cluster_label	protein_length_aa
PANK22-1_SAMN12290239_MAG_00000039	PANK22-1 0239-039	OMDBv2.0_AA_G_NR100_000116635101	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	598
PANK22-1_SAMN12290239_MAG_00000039	PANK22-1 0239-039	OMDBv2.0_AA_G_NR100_000116636121	OMDBv2.0_AA_G_NR100_000123915835	paralog 915835	139
PANK22-1_SAMN12290239_MAG_00000039	PANK22-1 0239-039	OMDBv2.0_AA_G_NR100_000116636228	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	617
PANK22-1_SAMN12290512_MAG_00000006	PANK22-1 0512-006	OMDBv2.0_AA_G_NR100_000117595385	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	598
PANK22-1_SAMN12290512_MAG_00000006	PANK22-1 0512-006	OMDBv2.0_AA_G_NR100_000117596425	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	579
PANK22-1_SAMN12290512_MAG_00000006	PANK22-1 0512-006	OMDBv2.0_AA_G_NR100_000117597164	OMDBv2.0_AA_G_NR100_000123915835	paralog 915835	154
PANK22-1_SAMN12291265_MAG_00000005	PANK22-1 1265-005	OMDBv2.0_AA_G_NR100_000122141279	OMDBv2.0_AA_G_NR100_000097754446	paralog 754446	596
PANK22-1_SAMN12291265_MAG_00000005	PANK22-1 1265-005	OMDBv2.0_AA_G_NR100_000122141831	OMDBv2.0_AA_G_NR100_000220077298	paralog 077298	619
PANK22-1_SAMN12291265_MAG_00000005	PANK22-1 1265-005	OMDBv2.0_AA_G_NR100_000122141937	OMDBv2.0_AA_G_NR100_000123915835	paralog 915835	205
SILV23-1_SAMEA8700009_MAG_00000019	SILV23-1 0009-019	OMDBv2.0_AA_G_NR100_000170028882	OMDBv2.0_AA_G_NR100_000215849197	paralog 849197	418
SILV23-1_SAMEA8700009_MAG_00000019	SILV23-1 0009-019	OMDBv2.0_AA_G_NR100_000170030177	OMDBv2.0_AA_G_NR100_000170100855	paralog 100855	201
SILV23-1_SAMEA8700009_MAG_00000019	SILV23-1 0009-019	OMDBv2.0_AA_G_NR100_000170030802	OMDBv2.0_AA_G_NR100_000170100522	paralog 100522	185
SILV23-1_SAMEA8700012_MAG_00000006	SILV23-1 0012-006	OMDBv2.0_AA_G_NR100_000170076997	OMDBv2.0_AA_G_NR100_000170076997	paralog 076997	602
SILV23-1_SAMEA8700012_MAG_00000006	SILV23-1 0012-006	OMDBv2.0_AA_G_NR100_000170100522	OMDBv2.0_AA_G_NR100_000170100522	paralog 100522	574
SILV23-1_SAMEA8700012_MAG_00000006	SILV23-1 0012-006	OMDBv2.0_AA_G_NR100_000170100855	OMDBv2.0_AA_G_NR100_000170100855	paralog 100855	565
SILV23-1_SAMEA8700012_MAG_00000006	SILV23-1 0012-006	OMDBv2.0_AA_G_NR100_000170101709	OMDBv2.0_AA_G_NR100_000169995954	paralog 995954	461
