genome	target_id	pident_to_nearest	nearest_hit_target_id	qcov	tcov	depth_m	domain	phylum	genus	ecosystem_compartment	sample_source	ecosystem_type	study_id	lat	lon
BOEU19-1_SAMN09765703_MAG_00000014	OMDBv2.0_AA_G_NR100_000019068407	31.4	OMDBv2.0_AA_G_NR100_000104211107	0.9	0.68	4000.0	Bacteria	Pseudomonadota	JABSSG01	Marine sediment	Marine sediment	Marine	BOEU19-1	22.75	-158.0
BPAM22-1_SAMN08954284_MAG_00000005	OMDBv2.0_AA_G_NR100_000033698400	27.2	OMDBv2.0_AA_G_NR100_000158193376	0.68	0.61	5.0	Bacteria	Pseudomonadota	Litorimonas	Seawater	Seawater	Marine	BPAM22-1	-33.9908	151.2325
DRIS22-1_SAMN24661246_MAG_00000018	OMDBv2.0_AA_G_NR100_000054514011	31.1	OMDBv2.0_AA_G_NR100_000163752412	0.79	0.83		Bacteria	Pseudomonadota	JAUICS01	Marine biofilm	Ocean plastic biofilm	Marine	DRIS22-1	26.73	-79.89
JOHN19-1_SAMN10217879_MAG_00000186	OMDBv2.0_AA_G_NR100_000069009521	33.4	OMDBv2.0_AA_G_NR100_000040970698	0.93	0.86		Bacteria	Myxococcota	JAJRTE01	Hydrothermal vent plume	Hydrothermal vent plume	Marine	JOHN19-1	-21.9894	-176.568
LUOR22-1_SAMEA13322673_MAG_00000062	OMDBv2.0_AA_G_NR100_000098889079	31.8	OMDBv2.0_AA_G_NR100_000117883595	0.93	0.94		Bacteria	Chloroflexota	JAGWBJ01	Marine sponge tissue	Geodia barretti tissue	Porifera	LUOR22-1	62.87086	57.6262
LUOR22-1_SAMEA13322674_MAG_00000099	OMDBv2.0_AA_G_NR100_000098889079	31.8	OMDBv2.0_AA_G_NR100_000117883595	0.93	0.94		Bacteria	Chloroflexota	JAGWBJ01	Marine sponge tissue	Geodia barretti tissue	Porifera	LUOR22-1	61.89333	60.1325
LUOR22-1_SAMEA13322675_MAG_00000005	OMDBv2.0_AA_G_NR100_000098889079	31.8	OMDBv2.0_AA_G_NR100_000117883595	0.93	0.94		Bacteria	Chloroflexota	JAGWBJ01	Marine sponge tissue	Geodia barretti tissue	Porifera	LUOR22-1	61.89333	60.1325
PANK22-1_SAMN12290600_MAG_00000060	OMDBv2.0_AA_G_NR100_000117883595	34.0	OMDBv2.0_AA_G_NR100_000195549733	0.94	0.95		Bacteria	Chloroflexota	CATQGW01	Marine sponge tissue	Agelas tissue	Porifera	PANK22-1	19.36197	-81.4023
PANK22-1_SAMN12290826_MAG_00000056	OMDBv2.0_AA_G_NR100_000117883595	34.0	OMDBv2.0_AA_G_NR100_000195549733	0.94	0.95		Bacteria	Chloroflexota	CATQGW01	Marine sponge tissue	Agelas tissue	Porifera	PANK22-1	19.36293	-81.4042
PANK22-1_SAMN12291263_MAG_00000056	OMDBv2.0_AA_G_NR100_000117883595	34.0	OMDBv2.0_AA_G_NR100_000195549733	0.94	0.95		Bacteria	Chloroflexota	CATQGW01	Marine sponge tissue	Agelas tissue	Porifera	PANK22-1	19.36197	-81.4023
