genome	genome_label	target_id	cluster	cluster_label	protein_length_aa
CARD22-1_SAMN24292811_MAG_00000010	CARD22-1 sp.? (010)	OMDBv2.0_AA_G_NR100_000041184878	OMDBv2.0_AA_G_NR100_000041568995	paralog 568995	708
CARD22-1_SAMN24292811_MAG_00000010	CARD22-1 sp.? (010)	OMDBv2.0_AA_G_NR100_000041185226	OMDBv2.0_AA_G_NR100_000041185226	paralog 185226	578
CARD22-1_SAMN24292811_MAG_00000010	CARD22-1 sp.? (010)	OMDBv2.0_AA_G_NR100_000041187467	OMDBv2.0_AA_G_NR100_000041187467	paralog 187467	541
CARD22-1_SAMN24292811_MAG_00000010	CARD22-1 sp.? (010)	OMDBv2.0_AA_G_NR100_000041187468	OMDBv2.0_AA_G_NR100_000041187468	paralog 187468	380
CARD22-1_SAMN24292811_MAG_00000010	CARD22-1 sp.? (010)	OMDBv2.0_AA_G_NR100_000041187880	OMDBv2.0_AA_G_NR100_000041571908	paralog 571908	372
CARD22-1_SAMN24292811_MAG_00000010	CARD22-1 sp.? (010)	OMDBv2.0_AA_G_NR100_000041189118	OMDBv2.0_AA_G_NR100_000041189118	paralog 189118	736
CARD22-1_SAMN24292812_MAG_00000014	CARD22-1 sp.? (014)	OMDBv2.0_AA_G_NR100_000041184878	OMDBv2.0_AA_G_NR100_000041568995	paralog 568995	708
CARD22-1_SAMN24292812_MAG_00000014	CARD22-1 sp.? (014)	OMDBv2.0_AA_G_NR100_000041185226	OMDBv2.0_AA_G_NR100_000041185226	paralog 185226	578
CARD22-1_SAMN24292812_MAG_00000014	CARD22-1 sp.? (014)	OMDBv2.0_AA_G_NR100_000041187467	OMDBv2.0_AA_G_NR100_000041187467	paralog 187467	541
CARD22-1_SAMN24292812_MAG_00000014	CARD22-1 sp.? (014)	OMDBv2.0_AA_G_NR100_000041187468	OMDBv2.0_AA_G_NR100_000041187468	paralog 187468	380
CARD22-1_SAMN24292812_MAG_00000014	CARD22-1 sp.? (014)	OMDBv2.0_AA_G_NR100_000041187880	OMDBv2.0_AA_G_NR100_000041571908	paralog 571908	372
CARD22-1_SAMN24292812_MAG_00000014	CARD22-1 sp.? (014)	OMDBv2.0_AA_G_NR100_000041189118	OMDBv2.0_AA_G_NR100_000041189118	paralog 189118	736
CARD22-1_SAMN24292799_MAG_00000026	CARD22-1 sp022360815 (026)	OMDBv2.0_AA_G_NR100_000041019850	OMDBv2.0_AA_G_NR100_000041493184	paralog 493184	295
CARD22-1_SAMN24292799_MAG_00000026	CARD22-1 sp022360815 (026)	OMDBv2.0_AA_G_NR100_000041020493	OMDBv2.0_AA_G_NR100_000041571731	paralog 571731	557
CARD22-1_SAMN24292799_MAG_00000026	CARD22-1 sp022360815 (026)	OMDBv2.0_AA_G_NR100_000041022155	OMDBv2.0_AA_G_NR100_000041568995	paralog 568995	679
CARD22-1_SAMN24292833_MAG_00000013	CARD22-1 sp022360815 (013)	OMDBv2.0_AA_G_NR100_000041566651	OMDBv2.0_AA_G_NR100_000041568995	paralog 568995	356
CARD22-1_SAMN24292833_MAG_00000013	CARD22-1 sp022360815 (013)	OMDBv2.0_AA_G_NR100_000041567772	OMDBv2.0_AA_G_NR100_000041571908	paralog 571908	373
CARD22-1_SAMN24292833_MAG_00000013	CARD22-1 sp022360815 (013)	OMDBv2.0_AA_G_NR100_000041568278	OMDBv2.0_AA_G_NR100_000041571494	paralog 571494	346
