genome	target_id	cluster0.7	protein_length_aa	triad_complete	cys_ok	asp_ok	his_ok	pident_to_ref	tcov_to_ref	own_scaffold	own_gene_index
RSGB23-1_GCF-000500125-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139013619	OMDBv2.0_AA_G_NR100_000153543917	596	True	True	True	True	97.800	0.966		
RSGB23-1_GCF-000500125-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139014259	OMDBv2.0_AA_G_NR100_000146810331	581	True	True	True	True	76.700	0.993		
RSGB23-1_GCF-000500125-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139225760	OMDBv2.0_AA_G_NR100_000138687466	367	False	False	True	True	40.100	0.422	scaffold_42	1
RSGB23-1_GCF-000500125-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139225761	OMDBv2.0_AA_G_NR100_000138687466	186	False	False	False	False	50.300	0.172	scaffold_42	2
RSGB23-1_GCF-000500125-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139226977	OMDBv2.0_AA_G_NR100_000153541193	222	False	False	False	False	55.700	0.193	scaffold_193	2
RSGB23-1_GCF-000500125-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139226978	OMDBv2.0_AA_G_NR100_000153541193	529	False	False	True	False	37.000	0.614	scaffold_193	3
RSGB23-1_GCF-000500125-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139227250	OMDBv2.0_AA_G_NR100_000138687466	183	False	False	False	False	50.300	0.172	scaffold_319	1
RSGB23-1_GCF-000500125-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139227287	OMDBv2.0_AA_G_NR100_000145182836	96	False	False	False	True	91.500	0.154	scaffold_360	1
RSGB23-1_GCF-000500125-V1_GENO_10000001	OMDBv2.0_AA_G_NR100_000139227294	OMDBv2.0_AA_G_NR100_000145182836	157	False	False	True	False	94.500	0.208	scaffold_370	1
RSGB23-1_GCF-002082905-V2_GENO_10000001	OMDBv2.0_AA_G_NR100_000141983699	OMDBv2.0_AA_G_NR100_000151319638	581	True	True	True	True	97.500	1.000	scaffold_1	807
RSGB23-1_GCF-002082905-V2_GENO_10000001	OMDBv2.0_AA_G_NR100_000141984006	OMDBv2.0_AA_G_NR100_000147399821	597	True	True	True	True	100.000	1.000	scaffold_1	1118
RSGB23-1_GCF-002082905-V2_GENO_10000001	OMDBv2.0_AA_G_NR100_000141984200	OMDBv2.0_AA_G_NR100_000153543917	598	True	True	True	True	100.000	1.000	scaffold_1	1385
RSGB23-1_GCF-002082905-V2_GENO_10000001	OMDBv2.0_AA_G_NR100_000141984974	OMDBv2.0_AA_G_NR100_000141984974	598	True	True	True	True	94.800	1.000	scaffold_1	2166
RSGB23-1_GCF-002082905-V2_GENO_10000001	OMDBv2.0_AA_G_NR100_000141985855	OMDBv2.0_AA_G_NR100_000147402907	379	False	False	False	False	51.700	0.231	scaffold_1	3077
RSGB23-1_GCF-002082905-V2_GENO_10000001	OMDBv2.0_AA_G_NR100_000141985857	OMDBv2.0_AA_G_NR100_000145182836	597	True	True	True	True	100.000	0.995	scaffold_1	3079
RSGB23-1_GCF-002082905-V2_GENO_10000001	OMDBv2.0_AA_G_NR100_000141985859	OMDBv2.0_AA_G_NR100_000151975889	579	True	True	True	True	41.100	0.674	scaffold_1	3081
RSGB23-1_GCF-002082905-V2_GENO_10000001	OMDBv2.0_AA_G_NR100_000141986694	OMDBv2.0_AA_G_NR100_000141986694	553	True	True	True	True	41.800	0.670	scaffold_3	79
RSGB23-1_GCF-002082905-V2_GENO_10000001	OMDBv2.0_AA_G_NR100_000141986722	OMDBv2.0_AA_G_NR100_000141986722	591	True	True	True	True	100.000	1.000	scaffold_3	107
