cluster_id	n_genomes	n_studies	n_classes	top_genus
OMDBv2.0_AA_G_NR100_000013384431	556	41	3	Salinivivens
OMDBv2.0_AA_G_NR100_000117564048	459	83	8	Nitrosopumilus
OMDBv2.0_AA_G_NR100_000042192455	453	73	2	Yoonia
OMDBv2.0_AA_G_NR100_000048196933	429	44	3	Planktomarina
OMDBv2.0_AA_G_NR100_000013481237	391	34	3	Salinivivens
OMDBv2.0_AA_G_NR100_000132148266	359	25	2	Vibrio
OMDBv2.0_AA_G_NR100_000113252641	344	51	2	Qipengyuania
OMDBv2.0_AA_G_NR100_000018755333	334	58	2	Sulfitobacter
OMDBv2.0_AA_G_NR100_000174424599	283	41	1	Qipengyuania
OMDBv2.0_AA_G_NR100_000013576874	282	28	4	UBA1014
OMDBv2.0_AA_G_NR100_000141312390	281	41	1	Pseudomonas_E
OMDBv2.0_AA_G_NR100_000045457530	265	61	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000013369699	259	33	2	HIMB30
OMDBv2.0_AA_G_NR100_000022439766	229	48	10	Nitrosopelagicus
OMDBv2.0_AA_G_NR100_000078715980	221	34	2	HIMB30
OMDBv2.0_AA_G_NR100_000182116006	214	30	1	UBA868
OMDBv2.0_AA_G_NR100_000161362957	207	41	1	LGRT01
OMDBv2.0_AA_G_NR100_000006817902	204	34	1	Hyphomonas
OMDBv2.0_AA_G_NR100_000215849197	198	35	3	Unknown JAKSDN01
OMDBv2.0_AA_G_NR100_000025430757	197	30	1	Vreelandella
OMDBv2.0_AA_G_NR100_000228771790	185	44	2	Erythrobacter
OMDBv2.0_AA_G_NR100_000131603510	184	23	1	Pseudomonas_E
OMDBv2.0_AA_G_NR100_000020388201	180	33	2	CPC320
OMDBv2.0_AA_G_NR100_000165939964	176	32	1	Vreelandella
OMDBv2.0_AA_G_NR100_000000191562	174	41	2	Alloalcanivorax
OMDBv2.0_AA_G_NR100_000020866026	173	19	1	HIMB11
OMDBv2.0_AA_G_NR100_000106770702	170	31	1	Alteromonas
OMDBv2.0_AA_G_NR100_000245052759	158	37	2	Marinobacter
OMDBv2.0_AA_G_NR100_000107220471	147	13	1	Litorimonas
OMDBv2.0_AA_G_NR100_000126950826	143	32	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000139884297	141	37	1	Alcanivorax
OMDBv2.0_AA_G_NR100_000172455166	139	21	2	UBA868
OMDBv2.0_AA_G_NR100_000001655122	134	21	1	RS62
OMDBv2.0_AA_G_NR100_000021183708	133	14	4	CACIJG01
OMDBv2.0_AA_G_NR100_000181110187	129	26	6	UBA11574
OMDBv2.0_AA_G_NR100_000012617846	128	29	1	Marinobacter
OMDBv2.0_AA_G_NR100_000040368674	128	23	2	Limnohabitans_A
OMDBv2.0_AA_G_NR100_000097754446	128	7	2	HK1
OMDBv2.0_AA_G_NR100_000110449701	127	12	2	VXOI01
OMDBv2.0_AA_G_NR100_000000524790	126	11	1	Alteromonas
OMDBv2.0_AA_G_NR100_000207072862	126	17	4	HIMB114
OMDBv2.0_AA_G_NR100_000212292779	117	22	1	Hyphomonas
OMDBv2.0_AA_G_NR100_000224966163	116	33	1	Roseovarius
OMDBv2.0_AA_G_NR100_000142221164	113	34	1	Yoonia
OMDBv2.0_AA_G_NR100_000199337729	112	24	2	Marinobacter
OMDBv2.0_AA_G_NR100_000171842913	109	18	2	Pseudooceanicola_C
OMDBv2.0_AA_G_NR100_000004410215	106	11	2	IMCC9063
OMDBv2.0_AA_G_NR100_000115437782	105	10	2	Bin18
OMDBv2.0_AA_G_NR100_000070874498	105	20	4	Marisalimonas
OMDBv2.0_AA_G_NR100_000025918245	104	26	1	Brevundimonas
OMDBv2.0_AA_G_NR100_000106054249	104	9	3	WTGU01
OMDBv2.0_AA_G_NR100_000001271994	100	43	2	Nitrosopumilus
OMDBv2.0_AA_G_NR100_000162064731	99	17	1	Maricaulis
OMDBv2.0_AA_G_NR100_000109952267	98	10	2	UBA2991
OMDBv2.0_AA_G_NR100_000061916247	97	25	2	Cycloclasticus
OMDBv2.0_AA_G_NR100_000000527020	95	11	1	Alteromonas
OMDBv2.0_AA_G_NR100_000242079509	92	14	1	Unknown Eutrophobiaceae
OMDBv2.0_AA_G_NR100_000078884236	91	14	2	HIMB11
OMDBv2.0_AA_G_NR100_000145189019	89	23	1	Octadecabacter
OMDBv2.0_AA_G_NR100_000220077298	89	8	2	HK1
OMDBv2.0_AA_G_NR100_000120169961	87	7	3	WTGU01
OMDBv2.0_AA_G_NR100_000073537408	85	10	3	JAJEEA01
OMDBv2.0_AA_G_NR100_000050629569	85	25	2	Yoonia
OMDBv2.0_AA_G_NR100_000000815836	84	26	1	Thalassolituus
OMDBv2.0_AA_G_NR100_000213969157	80	14	2	Multivorans
OMDBv2.0_AA_G_NR100_000202375460	80	26	2	UBA830
OMDBv2.0_AA_G_NR100_000218949456	79	19	2	Hyphomonas
OMDBv2.0_AA_G_NR100_000244652500	79	22	1	JAJEFO01
OMDBv2.0_AA_G_NR100_000141385272	78	9	1	Polynucleobacter
OMDBv2.0_AA_G_NR100_000072299793	77	10	3	Poriferisocius
OMDBv2.0_AA_G_NR100_000013431646	77	11	1	TMED26
OMDBv2.0_AA_G_NR100_000062686642	77	23	2	Sulfitobacter
OMDBv2.0_AA_G_NR100_000138190400	75	23	1	GCA-001735895
OMDBv2.0_AA_G_NR100_000028109228	75	18	4	JCVI-SCAAA005
OMDBv2.0_AA_G_NR100_000115368064	74	4	1	Bin18
OMDBv2.0_AA_G_NR100_000123628237	72	5	1	JAJDXW01
OMDBv2.0_AA_G_NR100_000108566087	71	11	1	JAAXHV01
OMDBv2.0_AA_G_NR100_000245577766	71	22	1	Sphingobium
OMDBv2.0_AA_G_NR100_000013631350	70	16	1	CABZJG01
OMDBv2.0_AA_G_NR100_000234861068	70	18	2	Opacimonas
OMDBv2.0_AA_G_NR100_000000423834	69	19	1	Sphingobium
OMDBv2.0_AA_G_NR100_000072179660	69	28	1	Phaeobacter
OMDBv2.0_AA_G_NR100_000040705761	68	19	1	Casp-alpha2
OMDBv2.0_AA_G_NR100_000062620436	67	22	1	Nocardioides
OMDBv2.0_AA_G_NR100_000141361330	67	19	1	Marinobacterium_E
OMDBv2.0_AA_G_NR100_000089939452	65	17	1	Casp-alpha2
OMDBv2.0_AA_G_NR100_000077465319	65	19	1	Opacimonas
OMDBv2.0_AA_G_NR100_000188899654	64	20	1	Sphingobium
OMDBv2.0_AA_G_NR100_000097989224	63	11	1	Bin18
OMDBv2.0_AA_G_NR100_000001621431	63	11	1	UBA10365
OMDBv2.0_AA_G_NR100_000045420950	62	10	2	M30B80
OMDBv2.0_AA_G_NR100_000206080107	61	1	1	Unknown Eutrophobiaceae
OMDBv2.0_AA_G_NR100_000143188048	61	17	1	Marinobacter
OMDBv2.0_AA_G_NR100_000099036190	61	9	1	Poriferisodalis
OMDBv2.0_AA_G_NR100_000134826249	61	11	1	LFER01
OMDBv2.0_AA_G_NR100_000013429220	60	10	1	TMED26
OMDBv2.0_AA_G_NR100_000115379136	60	1	1	Unknown Eutrophobiaceae
OMDBv2.0_AA_G_NR100_000081165221	60	16	1	Pikeienuella
OMDBv2.0_AA_G_NR100_000079405918	57	15	1	Thalassospira
OMDBv2.0_AA_G_NR100_000186710760	57	14	1	Thalassospira
OMDBv2.0_AA_G_NR100_000014828133	56	14	2	UBA868
OMDBv2.0_AA_G_NR100_000115752134	55	10	2	JAAXHV01
OMDBv2.0_AA_G_NR100_000139783925	55	14	1	Marinobacter
OMDBv2.0_AA_G_NR100_000129507029	55	9	2	Bin95
OMDBv2.0_AA_G_NR100_000018502525	55	15	1	Pseudophaeobacter
OMDBv2.0_AA_G_NR100_000116300908	54	1	1	Unknown Eutrophobiaceae
OMDBv2.0_AA_G_NR100_000052358391	54	17	1	Acinetobacter
OMDBv2.0_AA_G_NR100_000106674025	53	20	1	Planktotalea
OMDBv2.0_AA_G_NR100_000228707891	53	18	2	UBA1479
OMDBv2.0_AA_G_NR100_000235353770	53	15	1	GCA-2731375
OMDBv2.0_AA_G_NR100_000039058161	53	14	1	Hyphococcus
OMDBv2.0_AA_G_NR100_000035102899	52	12	1	Colwellia
OMDBv2.0_AA_G_NR100_000003449544	52	15	1	Lentibacter
OMDBv2.0_AA_G_NR100_000051481502	52	11	1	JABMNT01
OMDBv2.0_AA_G_NR100_000103293164	52	19	1	Eutrophovita
OMDBv2.0_AA_G_NR100_000200931218	52	14	2	Yoonia
OMDBv2.0_AA_G_NR100_000001517940	51	22	1	UBA868
OMDBv2.0_AA_G_NR100_000001524511	51	22	1	UBA868
OMDBv2.0_AA_G_NR100_000162387453	51	22	1	UBA4479
OMDBv2.0_AA_G_NR100_000013414939	50	11	1	UBA4421
OMDBv2.0_AA_G_NR100_000020871733	50	12	1	Hyphomonas
OMDBv2.0_AA_G_NR100_000116110033	50	8	1	Bin95
OMDBv2.0_AA_G_NR100_000117895931	50	2	1	Unknown UBA7887
OMDBv2.0_AA_G_NR100_000168416385	49	26	1	UBA9659
OMDBv2.0_AA_G_NR100_000113129836	49	14	1	Halopseudomonas
OMDBv2.0_AA_G_NR100_000234626934	49	14	1	UBA10347
OMDBv2.0_AA_G_NR100_000003336308	48	17	1	Eutrophovita
OMDBv2.0_AA_G_NR100_000159795168	46	12	1	SYDM01
OMDBv2.0_AA_G_NR100_000041317148	46	13	1	Hoeflea
OMDBv2.0_AA_G_NR100_000042505200	45	22	1	UBA4582
OMDBv2.0_AA_G_NR100_000148588359	45	11	1	Pseudorhodobacter
OMDBv2.0_AA_G_NR100_000072651000	44	6	1	MPNO01
OMDBv2.0_AA_G_NR100_000104846077	44	13	1	GCA-2731375
OMDBv2.0_AA_G_NR100_000143409747	44	12	1	Marinobacter
OMDBv2.0_AA_G_NR100_000161172046	44	12	2	Sulfitobacter
OMDBv2.0_AA_G_NR100_000024964870	43	19	2	Brevundimonas
OMDBv2.0_AA_G_NR100_000076838274	43	11	1	Marivita
OMDBv2.0_AA_G_NR100_000073421932	43	8	1	Bin65
OMDBv2.0_AA_G_NR100_000071535456	43	9	1	Bin65
OMDBv2.0_AA_G_NR100_000211038243	42	19	1	Qipengyuania
OMDBv2.0_AA_G_NR100_000104907706	42	22	1	UBA4479
OMDBv2.0_AA_G_NR100_000018793115	42	17	1	Henriciella
OMDBv2.0_AA_G_NR100_000124706857	42	1	1	Unknown Rhodobacteraceae
OMDBv2.0_AA_G_NR100_000048091946	41	12	1	JABMNT01
OMDBv2.0_AA_G_NR100_000244593942	41	6	1	JAACFE01
OMDBv2.0_AA_G_NR100_000147535641	41	10	1	Rubrivivax
OMDBv2.0_AA_G_NR100_000226283777	41	21	1	Henriciella
OMDBv2.0_AA_G_NR100_000185071308	41	21	2	JABJAG01
OMDBv2.0_AA_G_NR100_000061282509	41	15	3	Halomonas
OMDBv2.0_AA_G_NR100_000242515780	41	20	1	Sphingorhabdus_B
OMDBv2.0_AA_G_NR100_000167198478	40	13	2	SMWN01
OMDBv2.0_AA_G_NR100_000138090542	40	10	1	Microcystis
OMDBv2.0_AA_G_NR100_000055913956	40	7	2	VXPW01
OMDBv2.0_AA_G_NR100_000148477597	40	14	1	Oceanicaulis
OMDBv2.0_AA_G_NR100_000097792923	39	6	1	JAAXHF01
OMDBv2.0_AA_G_NR100_000035196305	39	12	1	Cycloclasticus
OMDBv2.0_AA_G_NR100_000166647879	39	14	2	Thiosocius
OMDBv2.0_AA_G_NR100_000184794335	39	14	2	UBA830
OMDBv2.0_AA_G_NR100_000164463162	39	8	1	UBA11136
OMDBv2.0_AA_G_NR100_000104757097	38	19	2	Casp-alpha2
OMDBv2.0_AA_G_NR100_000132176063	38	11	1	Roseicyclus
OMDBv2.0_AA_G_NR100_000199571761	38	12	1	Yoonia
OMDBv2.0_AA_G_NR100_000000201972	38	12	1	Alteriqipengyuania
OMDBv2.0_AA_G_NR100_000147079896	38	11	3	Parvibaculum
OMDBv2.0_AA_G_NR100_000167162496	38	11	5	Unknown JAKSDN01
OMDBv2.0_AA_G_NR100_000117940005	38	7	2	HK1
OMDBv2.0_AA_G_NR100_000243770328	37	6	1	JACZQZ01
OMDBv2.0_AA_G_NR100_000182500235	37	9	2	Litorivicinus
OMDBv2.0_AA_G_NR100_000199740149	37	13	1	Porticoccus
OMDBv2.0_AA_G_NR100_000045740998	36	11	1	PTKB01
OMDBv2.0_AA_G_NR100_000084293460	36	11	1	Glaciecola
OMDBv2.0_AA_G_NR100_000003641284	36	13	1	Oceanibaculum
OMDBv2.0_AA_G_NR100_000139954202	35	3	1	Aeromonas
OMDBv2.0_AA_G_NR100_000115926404	35	1	1	Unknown UBA7887
OMDBv2.0_AA_G_NR100_000006478383	35	7	1	Parvibaculum
OMDBv2.0_AA_G_NR100_000143978182	35	4	1	Burkholderia
OMDBv2.0_AA_G_NR100_000135617254	34	8	3	TMED54
OMDBv2.0_AA_G_NR100_000020962949	34	10	1	Abyssibacter
OMDBv2.0_AA_G_NR100_000030390334	34	17	1	Limnobacter
OMDBv2.0_AA_G_NR100_000115272770	34	14	1	Paracoccus
OMDBv2.0_AA_G_NR100_000036629461	33	17	1	Limnobacter
OMDBv2.0_AA_G_NR100_000154092975	33	7	1	Novilysobacter
OMDBv2.0_AA_G_NR100_000031777453	33	7	2	Litorivicinus
OMDBv2.0_AA_G_NR100_000015034734	33	13	1	GCA-2731375
OMDBv2.0_AA_G_NR100_000016885500	33	7	1	Pseudomonas_E
OMDBv2.0_AA_G_NR100_000191848735	33	11	1	Roseibium
OMDBv2.0_AA_G_NR100_000228346347	32	11	1	Maricaulis
OMDBv2.0_AA_G_NR100_000125145642	32	12	1	Acinetobacter
OMDBv2.0_AA_G_NR100_000043727294	32	13	1	VRUB01
OMDBv2.0_AA_G_NR100_000013377200	32	10	2	UBA4421
OMDBv2.0_AA_G_NR100_000190454837	32	18	1	HXMU1420-2
OMDBv2.0_AA_G_NR100_000031599503	31	6	1	Litorivicinus
OMDBv2.0_AA_G_NR100_000046438091	31	12	1	UBA8110
OMDBv2.0_AA_G_NR100_000001983954	31	7	1	UBA2463
OMDBv2.0_AA_G_NR100_000002345959	31	12	1	Sphingorhabdus_B
OMDBv2.0_AA_G_NR100_000206727129	31	9	1	Sulfitobacter
OMDBv2.0_AA_G_NR100_000244973968	31	9	1	EhC02
OMDBv2.0_AA_G_NR100_000224048008	30	7	1	Abyssibacter
OMDBv2.0_AA_G_NR100_000202746462	30	14	1	Thalassolituus
OMDBv2.0_AA_G_NR100_000169077902	30	6	2	TMED69
OMDBv2.0_AA_G_NR100_000142338148	30	13	1	EhC02
OMDBv2.0_AA_G_NR100_000136979862	30	8	1	Roseovarius
OMDBv2.0_AA_G_NR100_000227634850	29	7	1	UBA4421
OMDBv2.0_AA_G_NR100_000179855108	29	12	1	PTKB01
OMDBv2.0_AA_G_NR100_000115226026	29	9	1	Alterinioella
OMDBv2.0_AA_G_NR100_000138029322	29	8	2	Novosphingobium
OMDBv2.0_AA_G_NR100_000110661420	28	7	1	JAJDZL01
OMDBv2.0_AA_G_NR100_000082842127	28	7	1	TMED26
OMDBv2.0_AA_G_NR100_000235501147	28	9	1	UBA4479
OMDBv2.0_AA_G_NR100_000054308311	28	14	2	Henriciella
OMDBv2.0_AA_G_NR100_000142139290	28	9	1	Oceanibaculum
OMDBv2.0_AA_G_NR100_000187577635	28	8	2	Parvibaculum
