genome	genome_label	target_id	cluster	cluster_label	protein_length_aa
DUAR15-1_SAMN06266142_MAG_00000002	M.z. DUAR15-1-6142	OMDBv2.0_AA_G_NR100_000054866076	OMDBv2.0_AA_G_NR100_000139783925	paralog 783925 (phaC/phaZ-ambig.)	561
DUAR15-1_SAMN06266142_MAG_00000002	M.z. DUAR15-1-6142	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	paralog 602748 (Class I)	640
DUAR15-1_SAMN06266142_MAG_00000002	M.z. DUAR15-1-6142	OMDBv2.0_AA_G_NR100_000054867892	OMDBv2.0_AA_G_NR100_000061282509	paralog 282509 (98.8% struct. id.)	589
DUAR15-1_SAMN06266142_MAG_00000002	M.z. DUAR15-1-6142	OMDBv2.0_AA_G_NR100_000054868024	OMDBv2.0_AA_G_NR100_000139753017	paralog 753017 (738aa, atypical)	199
RSGB23-1_GCF-000731955-V1_GENO_10000001	M.z. RSGB23-1-5-V1	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	paralog 602748 (Class I)	640
RSGB23-1_GCF-000731955-V1_GENO_10000001	M.z. RSGB23-1-5-V1	OMDBv2.0_AA_G_NR100_000139753017	OMDBv2.0_AA_G_NR100_000139753017	paralog 753017 (738aa, atypical)	738
RSGB23-1_GCF-000731955-V1_GENO_10000001	M.z. RSGB23-1-5-V1	OMDBv2.0_AA_G_NR100_000139753277	OMDBv2.0_AA_G_NR100_000139783925	paralog 783925 (phaC/phaZ-ambig.)	561
SANC23-1_SAMEA110646468_MAG_00000065	M.z. SANC23-1-6468	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	paralog 602748 (Class I)	640
SANC23-1_SAMEA110646468_MAG_00000065	M.z. SANC23-1-6468	OMDBv2.0_AA_G_NR100_000139753017	OMDBv2.0_AA_G_NR100_000139753017	paralog 753017 (738aa, atypical)	738
SANC23-1_SAMEA110646468_MAG_00000065	M.z. SANC23-1-6468	OMDBv2.0_AA_G_NR100_000155251055	OMDBv2.0_AA_G_NR100_000139783925	paralog 783925 (phaC/phaZ-ambig.)	561
TARA_SAMEA2623562_MAG_00000025	M.z. TARA-3562	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	paralog 602748 (Class I)	640
TARA_SAMEA2623562_MAG_00000025	M.z. TARA-3562	OMDBv2.0_AA_G_NR100_000139753017	OMDBv2.0_AA_G_NR100_000139753017	paralog 753017 (738aa, atypical)	738
TARA_SAMEA2623562_MAG_00000025	M.z. TARA-3562	OMDBv2.0_AA_G_NR100_000155251055	OMDBv2.0_AA_G_NR100_000139783925	paralog 783925 (phaC/phaZ-ambig.)	561
TARA_SAMEA2623564_MAG_00000048	M.z. TARA-3564	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	paralog 602748 (Class I)	640
TARA_SAMEA2623564_MAG_00000048	M.z. TARA-3564	OMDBv2.0_AA_G_NR100_000139753017	OMDBv2.0_AA_G_NR100_000139753017	paralog 753017 (738aa, atypical)	738
TARA_SAMEA2623564_MAG_00000048	M.z. TARA-3564	OMDBv2.0_AA_G_NR100_000155251055	OMDBv2.0_AA_G_NR100_000139783925	paralog 783925 (phaC/phaZ-ambig.)	561
ZHEN20-1_SAMN07748058_MAG_00000118	M.z. ZHEN20-1-8058	OMDBv2.0_AA_G_NR100_000054866076	OMDBv2.0_AA_G_NR100_000139783925	paralog 783925 (phaC/phaZ-ambig.)	561
ZHEN20-1_SAMN07748058_MAG_00000118	M.z. ZHEN20-1-8058	OMDBv2.0_AA_G_NR100_000054867173	OMDBv2.0_AA_G_NR100_000148602748	paralog 602748 (Class I)	640
ZHEN20-1_SAMN07748058_MAG_00000118	M.z. ZHEN20-1-8058	OMDBv2.0_AA_G_NR100_000246007748	OMDBv2.0_AA_G_NR100_000061282509	paralog 282509 (98.8% struct. id.)	589
ZHEN20-1_SAMN07748058_MAG_00000118	M.z. ZHEN20-1-8058	OMDBv2.0_AA_G_NR100_000246007752	OMDBv2.0_AA_G_NR100_000139783925	paralog 783925 (phaC/phaZ-ambig.)	598
ZHEN20-1_SAMN07748058_MAG_00000118	M.z. ZHEN20-1-8058	OMDBv2.0_AA_G_NR100_000246008371	OMDBv2.0_AA_G_NR100_000139753017	paralog 753017 (738aa, atypical)	738
KOPF15-1_SAMEA7392432_MAG_00000114	Cobetia (KOPF15-1)	OMDBv2.0_AA_G_NR100_000077440596	OMDBv2.0_AA_G_NR100_000148602748	paralog 602748 (Class I)	984
OBRI24-1_SAMEA115094377_MAG_00000066	Vreelandella (OBRI24-1)	OMDBv2.0_AA_G_NR100_000114413057	OMDBv2.0_AA_G_NR100_000165939964	other (939964)	788
RSGB23-1_GCF-003547075-V1_GENO_10000001	Halomonas (RSGB23-1)	OMDBv2.0_AA_G_NR100_000146429043	OMDBv2.0_AA_G_NR100_000165939964	other (939964)	850
RSGB23-1_GCF-003547075-V1_GENO_10000001	Halomonas (RSGB23-1)	OMDBv2.0_AA_G_NR100_000146430412	OMDBv2.0_AA_G_NR100_000025430757	other (430757)	613
SCHR19-1_SAMN09405896_MAG_00000020	Marinobacter (SCHR19-1)	OMDBv2.0_AA_G_NR100_000160894568	OMDBv2.0_AA_G_NR100_000012617846	other (617846)	600
SCHR19-1_SAMN09405896_MAG_00000020	Marinobacter (SCHR19-1)	OMDBv2.0_AA_G_NR100_000160896173	OMDBv2.0_AA_G_NR100_000199337729	other (337729)	598
