genome	gtdb_species	n_phaA	n_phaB	n_phaC	n_phaJ	n_phaZ	n_phaY	n_phaF	n_phaR_regulator	architecture
RSGB23-1_GCF-000500125-V1_GENO_10000001	Legionella pneumophila	5	6	9	1	7	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-002082905-V2_GENO_10000001	Legionella anisa	5	14	9	3	6	0	1	1	ABCJZFRReg
RSGB23-1_GCF-000770585-V1_GENO_10000001	Legionella norrlandica	4	7	7	1	2	0	1	1	ABCJZFRReg
RSGB23-1_GCF-003176875-V1_GENO_10000001	Legionella anisa	4	11	7	2	3	0	1	1	ABCJZFRReg
RSGB23-1_GCF-014109805-V1_GENO_10000001	Legionella resiliens	4	14	7	2	3	0	1	1	ABCJZFRReg
RSGB23-1_GCF-000404245-V1_GENO_10000001	Legionella pneumophila	3	6	6	1	5	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-000455845-V1_GENO_10000001	Legionella pneumophila	5	7	6	1	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-000694995-V1_GENO_10000001	Legionella pneumophila	3	7	6	1	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-000953915-V1_GENO_10000001	Legionella pneumophila	3	5	6	1	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-003205035-V1_GENO_10000001	Legionella pneumophila	3	4	6	1	4	1	0	0	ABCJZY
RSGB23-1_GCF-003205045-V1_GENO_10000001	Legionella pneumophila	3	4	6	1	4	1	0	0	ABCJZY
RSGB23-1_GCF-003205055-V1_GENO_10000001	Legionella pneumophila	2	3	6	1	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-003205065-V1_GENO_10000001	Legionella pneumophila	2	3	6	1	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-003205115-V1_GENO_10000001	Legionella pneumophila	2	4	6	1	3	0	0	0	ABCJZ
RSGB23-1_GCF-003205135-V1_GENO_10000001	Legionella pneumophila	3	3	6	1	4	1	0	0	ABCJZY
RSGB23-1_GCF-003205175-V1_GENO_10000001	Legionella pneumophila	1	2	6	1	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-004137185-V1_GENO_10000001	Legionella pneumophila	1	3	6	1	4	0	1	1	ABCJZFRReg
RSGB23-1_GCF-004168975-V1_GENO_10000001	Legionella fraseri	3	7	6	3	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-004920575-V1_GENO_10000001	Legionella pneumophila	2	4	6	1	3	0	0	0	ABCJZ
RSGB23-1_GCF-004920585-V1_GENO_10000001	Legionella pneumophila	2	4	6	1	3	0	0	0	ABCJZ
RSGB23-1_GCF-000695015-V1_GENO_10000001	Legionella pneumophila	4	6	5	1	3	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-000950675-V1_GENO_10000001	Legionella pneumophila	3	7	5	1	3	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-000950695-V1_GENO_10000001	Legionella pneumophila	2	6	5	1	3	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-000950745-V1_GENO_10000001	Legionella pneumophila	2	6	5	1	3	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-000953935-V1_GENO_10000001	Legionella pneumophila	2	5	5	1	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-003990125-V1_GENO_10000001	Legionella qingyii	4	6	5	1	3	0	1	1	ABCJZFRReg
RSGB23-1_GCF-004137125-V1_GENO_10000001	Legionella fraseri	3	7	5	3	3	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-000423305-V1_GENO_10000001	Legionella moravica	4	7	4	1	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-001467865-V1_GENO_10000001	Legionella moravica	4	7	4	1	4	1	1	1	ABCJZYFRReg
RSGB23-1_GCF-003205155-V1_GENO_10000001	Legionella pneumophila	2	1	4	1	2	0	0	0	ABCJZ
