genome	gtdb_species	gtdb_genus	study_id	ecosystem_compartment	is_mag	n_phaC_matrix	n_targets_corrected	pct_triad_complete	pct_full_length	median_protein_length_aa	n_distinct_cluster07	n_clusters_known_of	pct_distinct_clusters	n_scaffolds_known	n_targets_scaffold_known_of	checkm_completeness	checkm_contamination	legitimacy_call
BPAM22-1_SAMN07482708_MAG_00000011	Bradyrhizobium denitrificans	Bradyrhizobium	BPAM22-1	Seawater	True	10	10	0.500	0.800	579	10	10	1.000	9	10	99.69	1.29	uncertain
BPAM22-1_SAMN07482710_MAG_00000026	Bradyrhizobium denitrificans	Bradyrhizobium	BPAM22-1	Seawater	True	10	10	0.500	0.700	579	10	10	1.000	4	4	93.12	2.23	uncertain
BPAM22-1_SAMN07482793_MAG_00000044	Bradyrhizobium denitrificans	Bradyrhizobium	BPAM22-1	Seawater	True	10	10	0.500	0.800	579	10	10	1.000	0	0	99.69	1.29	uncertain
RSGB23-1_GCF-000500125-V1_GENO_10000001	Legionella pneumophila	Legionella	RSGB23-1	NA	False	9	9	0.222	0.333	222	5	9	0.556	5	7	96.0	0.38	likely_artifact
RSGB23-1_GCF-002082905-V2_GENO_10000001	Legionella anisa	Legionella	RSGB23-1	NA	False	9	9	0.889	0.889	591	9	9	1.000	2	9	100.0	2.0	likely_legit
BPAM22-1_SAMN08953028_MAG_00000010	Bradyrhizobium sp001556045	Bradyrhizobium	BPAM22-1	Seawater	True	8	8	0.750	0.125	440	8	8	1.000	8	8	84.91	3.16	likely_legit
KELL22-1_SAMN22237344_MAG_00000103	Unknown JASJEC01	JASJEC01	KELL22-1	Marine sponge tissue	True	8	8	0.625	0.625	603	7	8	0.875	6	6	67.61	5.63	likely_legit
RSGB23-1_GCF-004343615-V1_GENO_10000001	Paracraurococcus aquatilis	Paracraurococcus	RSGB23-1	NA	False	8	8	0.500	0.750	609	8	8	1.000	7	8	100.0	0.0	uncertain
TARA_SAMEA6004635_MAG_00000157	Unknown Hwanghaeella	Hwanghaeella	TPAC	Seawater	True	8	8	0.750	0.625	595	7	8	0.875	5	7	90.69	0.76	likely_legit
CARD22-1_SAMN24292811_MAG_00000010	Unknown Desulfoluna	Desulfoluna	CARD22-1	Coral tissue	True	7	7	0.714	0.714	577	7	7	1.000	5	7	99.35	1.77	likely_legit
CARD22-1_SAMN24292812_MAG_00000014	Unknown Desulfoluna	Desulfoluna	CARD22-1	Coral tissue	True	7	7	0.714	0.714	577	7	7	1.000	1	1	98.59	4.23	likely_legit
CHAS20-1_SAMN14350117_MAG_00000061	Unknown HK1	Unknown HK1	CHAS20-1	Marine sediment	True	7	7	0.857	0.571	603	7	7	1.000	7	7	77.46	8.45	likely_legit
RSGB23-1_GCF-000770585-V1_GENO_10000001	Legionella norrlandica	Legionella	RSGB23-1	NA	False	7	7	0.571	0.429	424	6	7	0.857	5	6	99.24	0.95	uncertain
RSGB23-1_GCF-003176875-V1_GENO_10000001	Legionella anisa	Legionella	RSGB23-1	NA	False	7	7	0.857	0.857	597	7	7	1.000	0	0	100.0	1.53	likely_legit
RSGB23-1_GCF-009469605-V1_GENO_10000001	Zoogloea oryzae	Zoogloea	RSGB23-1	NA	False	7	7	1.000	1.000	584	7	7	1.000	5	7	99.38	1.09	likely_legit
RSGB23-1_GCF-014109805-V1_GENO_10000001	Legionella resiliens	Legionella	RSGB23-1	NA	False	7	7	0.857	0.857	597	7	7	1.000	1	7	100.0	2.67	likely_legit
RSGB23-1_GCF-900699765-V1_GENO_10000001	Desulfoluna butyratoxydans	Desulfoluna	RSGB23-1	NA	False	7	7	0.857	0.714	577	7	7	1.000	5	7	100.0	1.29	likely_legit
RSGB23-1_GCF-902498735-V1_GENO_10000001	Desulfoluna spongiiphila	Desulfoluna	RSGB23-1	NA	False	7	7	0.857	0.714	578	7	7	1.000	1	7	99.35	1.61	likely_legit
TARA_SAMEA4397363_MAG_00000003	Sulfitobacter sp963976125	Sulfitobacter	TOPC	Seawater	True	7	7	0.714	0.429	427	6	7	0.857	4	5	82.64	0.8	likely_legit
TARA_SAMEA5999008_MAG_00000204	Unknown Bradyrhizobium	Bradyrhizobium	TPAC	Seawater	True	7	7	0.857	0.571	586	7	7	1.000	7	7	94.54	3.69	likely_legit
ACIN21-1_SAMN05422133_MAG_00000018	Antarctobacter sp019392335	Antarctobacter	ACIN21-1	Seawater	True	6	6	0.667	0.667	570	6	6	1.000	2	2	96.29	0.68	likely_legit
ACIN21-1_SAMN05422140_MAG_00000006	Antarctobacter sp019392335	Antarctobacter	ACIN21-1	Seawater	True	6	6	0.667	0.667	570	6	6	1.000	1	1	99.32	0.32	likely_legit
ATLA15-1_SAMN03981636-S001_MAG_00000366	Unknown JAABRB01	JAABRB01	ATLA15-1	Marine sediment	True	6	6	0.833	0.667	586	6	6	1.000	6	6	93.92	0.53	likely_legit
ATLA15-1_SAMN03981669-S001_MAG_00000037	Unknown Desulfosarcinaceae	Unknown Desulfosarcinaceae	ATLA15-1	Marine sediment	True	6	6	0.833	0.333	394	6	6	1.000	5	5	98.06	1.94	likely_legit
